File accession	File type	Output type	File assembly	Experiment accession	Assay	Biosample term name	Experiment target	Biological replicate(s)	File download URL	File Status	s3_uri	File analysis status
ENCFF254FCX	bigWig	fold change over control	GRCh38	ENCSR440VKE	TF ChIP-seq	K562	ADNP-human	1	https://www.encodeproject.org/files/ENCFF254FCX/@@download/ENCFF254FCX.bigWig	released	s3://encode-public/2020/12/04/ba7cfb89-7802-41db-aada-bef45e7e97a7/ENCFF254FCX.bigWig	released
ENCFF580YKQ	bigWig	fold change over control	GRCh38	ENCSR440VKE	TF ChIP-seq	K562	ADNP-human	2	https://www.encodeproject.org/files/ENCFF580YKQ/@@download/ENCFF580YKQ.bigWig	released	s3://encode-public/2020/12/04/71c7db41-cc3e-41a8-b40f-f07688b22d15/ENCFF580YKQ.bigWig	released
ENCFF292SLU	bigWig	fold change over control	GRCh38	ENCSR981BHT	TF ChIP-seq	HepG2	ADNP-human	1	https://www.encodeproject.org/files/ENCFF292SLU/@@download/ENCFF292SLU.bigWig	released	s3://encode-public/2020/07/01/752e4169-afd5-450b-ae3c-cd88df446e9d/ENCFF292SLU.bigWig	released
ENCFF631PWL	bigWig	fold change over control	GRCh38	ENCSR981BHT	TF ChIP-seq	HepG2	ADNP-human	2	https://www.encodeproject.org/files/ENCFF631PWL/@@download/ENCFF631PWL.bigWig	released	s3://encode-public/2020/07/01/2fb54cd2-b327-40ea-87ea-9d149fddae84/ENCFF631PWL.bigWig	released
ENCFF885SHO	bigWig	fold change over control	GRCh38	ENCSR463DPV	TF ChIP-seq	HepG2	AFF4-human	1	https://www.encodeproject.org/files/ENCFF885SHO/@@download/ENCFF885SHO.bigWig	released	s3://encode-public/2020/07/02/e58b3427-75b1-4385-a848-e722d8819b12/ENCFF885SHO.bigWig	released
ENCFF234WDK	bigWig	fold change over control	GRCh38	ENCSR463DPV	TF ChIP-seq	HepG2	AFF4-human	2	https://www.encodeproject.org/files/ENCFF234WDK/@@download/ENCFF234WDK.bigWig	released	s3://encode-public/2020/07/02/5671cfdf-45e7-4737-a8bf-1aac9711b746/ENCFF234WDK.bigWig	released
ENCFF057BCB	bigWig	fold change over control	GRCh38	ENCSR641BSL	TF ChIP-seq	K562	AGO1-human	2	https://www.encodeproject.org/files/ENCFF057BCB/@@download/ENCFF057BCB.bigWig	released	s3://encode-public/2017/02/11/e4352170-91f7-4773-b47c-19d7e61e8c41/ENCFF057BCB.bigWig	released
ENCFF593VAW	bigWig	fold change over control	GRCh38	ENCSR641BSL	TF ChIP-seq	K562	AGO1-human	1	https://www.encodeproject.org/files/ENCFF593VAW/@@download/ENCFF593VAW.bigWig	released	s3://encode-public/2017/02/11/8fdc7839-5275-48f1-ad6a-96e9501c279d/ENCFF593VAW.bigWig	released
ENCFF020OLK	bigWig	fold change over control	GRCh38	ENCSR641BSL	TF ChIP-seq	K562	AGO1-human	1	https://www.encodeproject.org/files/ENCFF020OLK/@@download/ENCFF020OLK.bigWig	released	s3://encode-public/2020/12/03/865cf73a-9619-4ba5-8c71-403521e198f1/ENCFF020OLK.bigWig	released
ENCFF521JBC	bigWig	fold change over control	GRCh38	ENCSR641BSL	TF ChIP-seq	K562	AGO1-human	2	https://www.encodeproject.org/files/ENCFF521JBC/@@download/ENCFF521JBC.bigWig	released	s3://encode-public/2020/12/03/f422d011-5e44-434e-93bd-10d1a1f717ce/ENCFF521JBC.bigWig	released
