Experiment Accession	Peak Accession	Biosample	Target	Lab	RFA
ENCSR753RME	ENCFF917CYG	Homo sapiens testis tissue male adult (37 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR992XTY	ENCFF112GJQ	Homo sapiens WTC11	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR934GQS	ENCFF483KVM	Homo sapiens ovary tissue female adult (41 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR164ASX	ENCFF238PEB	Homo sapiens upper lobe of right lung tissue male adult (60 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR000VGD	ENCFF870ZRR	Homo sapiens right lobe of liver tissue female adult (47 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR856TKC	ENCFF072KJO	Homo sapiens natural killer cell male adult (33 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR347MXL	ENCFF213WPO	"Homo sapiens activated CD8-positive, alpha-beta T cell male adult (21 years) treated with anti-CD3 and anti-CD28 coated beads"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR806WWX	ENCFF951RPD	"Homo sapiens activated CD4-positive, alpha-beta T cell male adult (20 years) treated with anti-CD3 and anti-CD28 coated beads"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR863HZM	ENCFF183WDD	Homo sapiens lower lobe of right lung tissue male adult (60 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR689VEF	ENCFF044BBL	Homo sapiens tibial nerve tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR401KRN	ENCFF828VJU	Homo sapiens right atrium auricular region tissue female adult (53 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR408ZEE	ENCFF345BDJ	Homo sapiens adrenal gland tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR075NRV	ENCFF292JVA	Homo sapiens B cell male adult (22 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR105HEC	ENCFF787SIQ	Homo sapiens activated B cell male adult (22 years) treated with 0.5 ?M CpG ODN for 24 hours	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR291YNH	ENCFF303JQF	Homo sapiens placenta tissue female embryo	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR782BSY	ENCFF662CKT	Homo sapiens placenta tissue male embryo	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR193SZD	ENCFF132JHE	Homo sapiens MCF 10A	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR116AKQ	ENCFF758CQW	"Homo sapiens CD8-positive, alpha-beta T cell male adult (21 years)"	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR585KBH	ENCFF511EXS	Homo sapiens body of pancreas tissue female adult (51 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR736PZW	ENCFF673YZF	Homo sapiens left lung tissue female child (16 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR073TPC	ENCFF941QXT	Homo sapiens esophagus muscularis mucosa tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR162KZY	ENCFF476EKR	Homo sapiens CD14-positive monocyte male adult (30 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR350NBQ	ENCFF749GUK	Homo sapiens heart left ventricle tissue male adult (54 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
ENCSR839NFL	ENCFF585ZAP	Homo sapiens right lobe of liver tissue female adult (41 years)	CTCF	"Bradley Bernstein, Broad"	ENCODE4
