File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF677CFG	bam	bam		unfiltered alignments	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document	200-600	1	1_1		36					/files/ENCFF110MCL/, /files/ENCFF000BYO/	1454235591	ENCODE Processing Pipeline	4376f4b6f7bc508b2359556756403670		https://www.encodeproject.org/files/ENCFF677CFG/@@download/ENCFF677CFG.bam				released	s3://encode-public/2022/06/16/827755a0-0780-44b9-b857-46fad0a4df36/ENCFF677CFG.bam	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/827755a0-0780-44b9-b857-46fad0a4df36/ENCFF677CFG.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length	control insufficient read depth, insufficient read depth	
ENCFF112LWK	bigWig	bigWig		fold change over control	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document	200-600	3	3_1							/files/ENCFF132YSI/, /files/ENCFF226FKB/, /files/ENCFF666YXZ/, /files/ENCFF420ARY/	484259878	ENCODE Processing Pipeline	106649b0439fa81bd50cbddcbb0e4736		https://www.encodeproject.org/files/ENCFF112LWK/@@download/ENCFF112LWK.bigWig				released	s3://encode-public/2022/06/16/e05ed78a-b5e7-490a-98ae-ba7da1de26b1/ENCFF112LWK.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/e05ed78a-b5e7-490a-98ae-ba7da1de26b1/ENCFF112LWK.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length	control insufficient read depth, insufficient read depth	
ENCFF544AVW	bigWig	bigWig		fold change over control	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document	200-600	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF711PLM/, /files/ENCFF132YSI/, /files/ENCFF649PBO/, /files/ENCFF226FKB/, /files/ENCFF666YXZ/, /files/ENCFF420ARY/	927611153	ENCODE Processing Pipeline	61dc50179ae8d880b972c3697a6a2fc2		https://www.encodeproject.org/files/ENCFF544AVW/@@download/ENCFF544AVW.bigWig				released	s3://encode-public/2022/06/16/b460dd47-f161-4ac0-9456-1c7dbd66ad54/ENCFF544AVW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/b460dd47-f161-4ac0-9456-1c7dbd66ad54/ENCFF544AVW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length	control insufficient read depth, insufficient read depth	
ENCFF424SZB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document	200-600	1	1_1							/files/ENCFF711PLM/, /files/ENCFF226FKB/, /files/ENCFF356LFX/, /files/ENCFF666YXZ/, /files/ENCFF420ARY/	1746234	ENCODE Processing Pipeline	606263a42e997b315d5144734876fb67		https://www.encodeproject.org/files/ENCFF424SZB/@@download/ENCFF424SZB.bed.gz				released	s3://encode-public/2022/06/16/ae0ac7b7-fc5c-4d7a-aa4d-b685ac498dce/ENCFF424SZB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/ae0ac7b7-fc5c-4d7a-aa4d-b685ac498dce/ENCFF424SZB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length, matching md5 sums	control insufficient read depth, insufficient read depth	
ENCFF334HSS	bigWig	bigWig		signal p-value	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document	200-600	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF711PLM/, /files/ENCFF132YSI/, /files/ENCFF649PBO/, /files/ENCFF226FKB/, /files/ENCFF666YXZ/, /files/ENCFF420ARY/	897994854	ENCODE Processing Pipeline	7f0d8f7287f845f0593eb5cb234d1973		https://www.encodeproject.org/files/ENCFF334HSS/@@download/ENCFF334HSS.bigWig				released	s3://encode-public/2022/06/16/81058056-3691-4466-81c4-43e6dcc11b51/ENCFF334HSS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/81058056-3691-4466-81c4-43e6dcc11b51/ENCFF334HSS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length	control insufficient read depth, insufficient read depth	
ENCFF779NIF	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document	200-600	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF711PLM/, /files/ENCFF132YSI/, /files/ENCFF649PBO/, /files/ENCFF226FKB/, /files/ENCFF356LFX/, /files/ENCFF666YXZ/, /files/ENCFF420ARY/	1692469	ENCODE Processing Pipeline	ed472c4315764d1011197d0ae82aa146		https://www.encodeproject.org/files/ENCFF779NIF/@@download/ENCFF779NIF.bed.gz				released	s3://encode-public/2022/06/16/a52d9818-5f02-4e6a-b7fe-fc519f65bb91/ENCFF779NIF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/a52d9818-5f02-4e6a-b7fe-fc519f65bb91/ENCFF779NIF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length	control insufficient read depth, insufficient read depth	
ENCFF282NSY	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document	200-600	1	1_1							/files/ENCFF424SZB/	2970562	ENCODE Processing Pipeline	ea06bb58a627efa9ae3875dfd8534b7c		https://www.encodeproject.org/files/ENCFF282NSY/@@download/ENCFF282NSY.bigBed				released	s3://encode-public/2022/06/16/6de4386b-40a0-4c19-92d8-ad4e071561ed/ENCFF282NSY.bigBed	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/6de4386b-40a0-4c19-92d8-ad4e071561ed/ENCFF282NSY.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length, matching md5 sums	control insufficient read depth, insufficient read depth	
ENCFF767ECL	bigWig	bigWig		fold change over control	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document	200-600	1	1_1							/files/ENCFF226FKB/, /files/ENCFF420ARY/, /files/ENCFF666YXZ/, /files/ENCFF711PLM/	469863369	ENCODE Processing Pipeline	3be669f975f1ad53654cbbaf8a1f518e		https://www.encodeproject.org/files/ENCFF767ECL/@@download/ENCFF767ECL.bigWig				released	s3://encode-public/2022/06/16/d5dc8d6e-20f5-4f99-8c8f-57814f3aa6f7/ENCFF767ECL.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/d5dc8d6e-20f5-4f99-8c8f-57814f3aa6f7/ENCFF767ECL.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length, matching md5 sums	control insufficient read depth, insufficient read depth	
ENCFF478XGK	bigWig	bigWig		signal p-value	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document	200-600	2	2_1							/files/ENCFF226FKB/, /files/ENCFF649PBO/, /files/ENCFF666YXZ/, /files/ENCFF420ARY/	684777408	ENCODE Processing Pipeline	fb4b6733fc4ea4b309624891660369d5		https://www.encodeproject.org/files/ENCFF478XGK/@@download/ENCFF478XGK.bigWig				released	s3://encode-public/2022/06/16/ccc849a7-2fe7-4016-a7dc-bdebdbff3049/ENCFF478XGK.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/ccc849a7-2fe7-4016-a7dc-bdebdbff3049/ENCFF478XGK.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length, matching md5 sums	control insufficient read depth, insufficient read depth	
ENCFF832FHS	bam	bam		unfiltered alignments	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document	200-600	2	2_1		36					/files/ENCFF110MCL/, /files/ENCFF000BYS/	953498635	ENCODE Processing Pipeline	847ecca1c748421a4df884c2867473ef		https://www.encodeproject.org/files/ENCFF832FHS/@@download/ENCFF832FHS.bam				released	s3://encode-public/2022/06/16/19fcbffd-dafb-4a5d-adfa-69a9046e72da/ENCFF832FHS.bam	https://datasetencode.blob.core.windows.net/dataset/2022/06/16/19fcbffd-dafb-4a5d-adfa-69a9046e72da/ENCFF832FHS.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, low read length	control insufficient read depth, insufficient read depth	
