File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF982FCY	bigWig	bigWig		signal p-value	GRCh38	ENCSR985OYK	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:ZBTB11'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/27107/'], '@type': ['Target', 'Item'], 'label': 'ZBTB11', 'title': 'ZBTB11 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e6b7c1f8-62d9-48fb-a633-b01a6c77ac69', 'schema_version': '14', 'name': 'ZBTB11-human', '@id': '/targets/ZBTB11-human/', 'status': 'released'}				ZBTB11-human	DNA						2021-01-06	ENCODE		sonication (Bioruptor Pico)	250-450	3, 4	3_1, 4_1							/files/ENCFF900MNG/, /files/ENCFF174OKT/, /files/ENCFF465SQQ/	1436439113	ENCODE Processing Pipeline	f54e9851ca83e2143a6712d8e99761c3		https://www.encodeproject.org/files/ENCFF982FCY/@@download/ENCFF982FCY.bigWig				released	s3://encode-public/2020/11/04/8e7f5141-578f-43a7-8d29-9751e3f35df5/ENCFF982FCY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/04/8e7f5141-578f-43a7-8d29-9751e3f35df5/ENCFF982FCY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking		
ENCFF227HVU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR985OYK	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:ZBTB11'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/27107/'], '@type': ['Target', 'Item'], 'label': 'ZBTB11', 'title': 'ZBTB11 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e6b7c1f8-62d9-48fb-a633-b01a6c77ac69', 'schema_version': '14', 'name': 'ZBTB11-human', '@id': '/targets/ZBTB11-human/', 'status': 'released'}				ZBTB11-human	DNA						2021-01-06	ENCODE		sonication (Bioruptor Pico)	250-450	3, 4	3_1, 4_1							/files/ENCFF900MNG/, /files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF465SQQ/	76588	ENCODE Processing Pipeline	ed4dfdea1e3ee63fe51e82eea5399fc2		https://www.encodeproject.org/files/ENCFF227HVU/@@download/ENCFF227HVU.bed.gz				released	s3://encode-public/2020/11/04/4d549787-8bfc-4152-9d73-0858392df1be/ENCFF227HVU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/04/4d549787-8bfc-4152-9d73-0858392df1be/ENCFF227HVU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking		
ENCFF448BAC	bigWig	bigWig		signal p-value	GRCh38	ENCSR017EJY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1947'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1748/'], '@type': ['Target', 'Item'], 'name': 'DLX4-human', 'label': 'DLX4', '@id': '/targets/DLX4-human/', 'title': 'DLX4 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'fbe9745c-246e-49b2-9901-7348611680fd', 'status': 'released'}				DLX4-human	DNA						2021-01-06	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF756HTD/, /files/ENCFF278MFG/, /files/ENCFF948XBN/	1769832443	ENCODE Processing Pipeline	c6da6bcb0fa81283ac19cd1c6ee3efd6		https://www.encodeproject.org/files/ENCFF448BAC/@@download/ENCFF448BAC.bigWig				released	s3://encode-public/2020/11/04/b82de217-6ffa-43d9-8691-5b2443079e1c/ENCFF448BAC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/04/b82de217-6ffa-43d9-8691-5b2443079e1c/ENCFF448BAC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking		
ENCFF832DBU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR017EJY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1947'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1748/'], '@type': ['Target', 'Item'], 'name': 'DLX4-human', 'label': 'DLX4', '@id': '/targets/DLX4-human/', 'title': 'DLX4 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'fbe9745c-246e-49b2-9901-7348611680fd', 'status': 'released'}				DLX4-human	DNA						2021-01-06	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF756HTD/, /files/ENCFF278MFG/, /files/ENCFF356LFX/, /files/ENCFF948XBN/	10764	ENCODE Processing Pipeline	8d549573a8b98c815fb5791bb1f2f78a		https://www.encodeproject.org/files/ENCFF832DBU/@@download/ENCFF832DBU.bed.gz				released	s3://encode-public/2020/11/04/035b34df-ea53-4b0f-8f6d-572228e20385/ENCFF832DBU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/04/035b34df-ea53-4b0f-8f6d-572228e20385/ENCFF832DBU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking		
ENCFF495KOS	bigWig	bigWig		signal p-value	GRCh38	ENCSR844JVU	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10732/'], '@type': ['Target', 'Item'], 'name': 'TCFL5-human', 'label': 'TCFL5', '@id': '/targets/TCFL5-human/', 'title': 'TCFL5 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '6462038c-8767-4f26-ac1b-d7c663b277a4', 'status': 'released'}				TCFL5-human	DNA						2021-01-06	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF045AAB/, /files/ENCFF755YFZ/	1377597853	ENCODE Processing Pipeline	7bb0afd240fc54848d629158a21ab2b1		https://www.encodeproject.org/files/ENCFF495KOS/@@download/ENCFF495KOS.bigWig				released	s3://encode-public/2020/11/11/ed4bf0e8-a0f9-4057-801f-115d652183f3/ENCFF495KOS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/11/ed4bf0e8-a0f9-4057-801f-115d652183f3/ENCFF495KOS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	matching md5 sums, moderate library complexity, mild to moderate bottlenecking		
ENCFF410SWS	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR844JVU	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10732/'], '@type': ['Target', 'Item'], 'name': 'TCFL5-human', 'label': 'TCFL5', '@id': '/targets/TCFL5-human/', 'title': 'TCFL5 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '6462038c-8767-4f26-ac1b-d7c663b277a4', 'status': 'released'}				TCFL5-human	DNA						2021-01-06	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF045AAB/, /files/ENCFF755YFZ/	39200	ENCODE Processing Pipeline	60d335277f3b6c34d4f2d52544f64d82		https://www.encodeproject.org/files/ENCFF410SWS/@@download/ENCFF410SWS.bed.gz				released	s3://encode-public/2020/11/11/d47cecf1-c437-42c5-8a86-f1eeace50ab3/ENCFF410SWS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/11/d47cecf1-c437-42c5-8a86-f1eeace50ab3/ENCFF410SWS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	matching md5 sums, moderate library complexity, mild to moderate bottlenecking		
ENCFF325ACI	bigWig	bigWig		signal p-value	GRCh38	ENCSR617POJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/162239/'], '@type': ['Target', 'Item'], 'name': 'ZFP1-human', 'label': 'ZFP1', '@id': '/targets/ZFP1-human/', 'title': 'ZFP1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '5d03a9a5-0ee2-4c22-b409-37d6af823854', 'status': 'released'}				ZFP1-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF127ODS/, /files/ENCFF463LXE/, /files/ENCFF174OKT/	1699517151	ENCODE Processing Pipeline	33fd8d383919fba639c83b400770b000		https://www.encodeproject.org/files/ENCFF325ACI/@@download/ENCFF325ACI.bigWig				released	s3://encode-public/2020/07/01/004682cb-5f6e-4c08-9858-d6ee38a0fc13/ENCFF325ACI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/004682cb-5f6e-4c08-9858-d6ee38a0fc13/ENCFF325ACI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking, mixed read lengths		
ENCFF795AWO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR617POJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/162239/'], '@type': ['Target', 'Item'], 'name': 'ZFP1-human', 'label': 'ZFP1', '@id': '/targets/ZFP1-human/', 'title': 'ZFP1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '5d03a9a5-0ee2-4c22-b409-37d6af823854', 'status': 'released'}				ZFP1-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF127ODS/, /files/ENCFF463LXE/, /files/ENCFF174OKT/, /files/ENCFF356LFX/	66442	ENCODE Processing Pipeline	16303e76c144e51a71cfe91bab023ba0		https://www.encodeproject.org/files/ENCFF795AWO/@@download/ENCFF795AWO.bed.gz				released	s3://encode-public/2020/07/01/edd93f53-67eb-4712-a113-984740ffaf15/ENCFF795AWO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/edd93f53-67eb-4712-a113-984740ffaf15/ENCFF795AWO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking, mixed read lengths		
ENCFF843WTJ	bigWig	bigWig		signal p-value	GRCh38	ENCSR335SUD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1024'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/80818/'], '@type': ['Target', 'Item'], 'name': 'ZNF436-human', 'label': 'ZNF436', '@id': '/targets/ZNF436-human/', 'title': 'ZNF436 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'cbd2df94-2f19-4d4b-a2bb-edfeff5f46dc', 'status': 'released'}				ZNF436-human	DNA				formaldehyde		2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450, 450-650	1, 2	1_2, 2_2							/files/ENCFF174OKT/, /files/ENCFF533RWZ/, /files/ENCFF469BFJ/	1507858388	ENCODE Processing Pipeline	dbe5257d114ee195375ae8c5d5ca78f8		https://www.encodeproject.org/files/ENCFF843WTJ/@@download/ENCFF843WTJ.bigWig				released	s3://encode-public/2021/03/05/1c8934a6-8806-4e57-a3b6-795188837402/ENCFF843WTJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/05/1c8934a6-8806-4e57-a3b6-795188837402/ENCFF843WTJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF318ZUN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR335SUD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1024'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/80818/'], '@type': ['Target', 'Item'], 'name': 'ZNF436-human', 'label': 'ZNF436', '@id': '/targets/ZNF436-human/', 'title': 'ZNF436 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'cbd2df94-2f19-4d4b-a2bb-edfeff5f46dc', 'status': 'released'}				ZNF436-human	DNA				formaldehyde		2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450, 450-650	1, 2	1_2, 2_2							/files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF533RWZ/, /files/ENCFF469BFJ/	49916	ENCODE Processing Pipeline	50e546ab5ebe87fc2e8c7b1ea186414d		https://www.encodeproject.org/files/ENCFF318ZUN/@@download/ENCFF318ZUN.bed.gz				released	s3://encode-public/2021/03/05/73f00db8-3d5c-4e7f-bf6d-940e252a203c/ENCFF318ZUN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/05/73f00db8-3d5c-4e7f-bf6d-940e252a203c/ENCFF318ZUN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	mild to moderate bottlenecking		
