File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF202LIO	bam	bam		unfiltered alignments	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1		101					/files/ENCFF186CQZ/, /files/ENCFF110MCL/, /files/ENCFF391BFJ/	6794978943	ENCODE Processing Pipeline	ed349f7f10e47ec1f266b0460b080f9e		https://www.encodeproject.org/files/ENCFF202LIO/@@download/ENCFF202LIO.bam				released	s3://encode-public/2021/02/24/3ce95d1b-a9f7-41a9-b3e1-453a3f1f996f/ENCFF202LIO.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/3ce95d1b-a9f7-41a9-b3e1-453a3f1f996f/ENCFF202LIO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF562LFB	bam	bam		unfiltered alignments	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1		101					/files/ENCFF110MCL/, /files/ENCFF440UAD/, /files/ENCFF350ZZR/	6537334723	ENCODE Processing Pipeline	9a036efbd00934d5712bf56c3c68ee7e		https://www.encodeproject.org/files/ENCFF562LFB/@@download/ENCFF562LFB.bam				released	s3://encode-public/2021/02/24/0635f400-7599-442a-90ee-b61754a719c2/ENCFF562LFB.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/0635f400-7599-442a-90ee-b61754a719c2/ENCFF562LFB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF512VEZ	bam	bam		alignments	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1		101					/files/ENCFF391BFJ/, /files/ENCFF356LFX/, /files/ENCFF212UAV/, /files/ENCFF140XLU/, /files/ENCFF304XEX/, /files/ENCFF493CCB/, /files/ENCFF110MCL/, /files/ENCFF186CQZ/	3132141788	ENCODE Processing Pipeline	293aa794cbfc79c48fb86188ee65db41		https://www.encodeproject.org/files/ENCFF512VEZ/@@download/ENCFF512VEZ.bam				released	s3://encode-public/2021/02/24/c7d946d1-a19f-4c94-988f-35ef5edc67e9/ENCFF512VEZ.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/c7d946d1-a19f-4c94-988f-35ef5edc67e9/ENCFF512VEZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF987XOV	bam	bam		alignments	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1		101					/files/ENCFF356LFX/, /files/ENCFF212UAV/, /files/ENCFF140XLU/, /files/ENCFF304XEX/, /files/ENCFF493CCB/, /files/ENCFF350ZZR/, /files/ENCFF110MCL/, /files/ENCFF440UAD/	2950424249	ENCODE Processing Pipeline	63c6ec102c4a887fb48d7a1fb5895b0d		https://www.encodeproject.org/files/ENCFF987XOV/@@download/ENCFF987XOV.bam				released	s3://encode-public/2021/02/24/57ce8c5b-7229-44b1-b5dc-e62d82a5b7d2/ENCFF987XOV.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/57ce8c5b-7229-44b1-b5dc-e62d82a5b7d2/ENCFF987XOV.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF459KUR	bigWig	bigWig		signal p-value	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF512VEZ/	547996452	ENCODE Processing Pipeline	0eda95063750b95210b3d64c67c160a4		https://www.encodeproject.org/files/ENCFF459KUR/@@download/ENCFF459KUR.bigWig				released	s3://encode-public/2021/02/24/eac7e3f1-f4ba-4b1d-9fc4-4554e444cb47/ENCFF459KUR.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/eac7e3f1-f4ba-4b1d-9fc4-4554e444cb47/ENCFF459KUR.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF451IKJ	bigWig	bigWig		fold change over control	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF512VEZ/	658585320	ENCODE Processing Pipeline	00fa809c751db168326b57eb68ba99f5		https://www.encodeproject.org/files/ENCFF451IKJ/@@download/ENCFF451IKJ.bigWig				released	s3://encode-public/2021/02/24/8a7c45b6-a1a8-40f3-b209-e038313fc913/ENCFF451IKJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/8a7c45b6-a1a8-40f3-b209-e038313fc913/ENCFF451IKJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF867QEW	bigWig	bigWig		signal p-value	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF987XOV/	477239019	ENCODE Processing Pipeline	871f8b68639a859253d0625ae847aace		https://www.encodeproject.org/files/ENCFF867QEW/@@download/ENCFF867QEW.bigWig				released	s3://encode-public/2021/02/24/6804142d-f017-49e6-81c7-131674290f7a/ENCFF867QEW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/6804142d-f017-49e6-81c7-131674290f7a/ENCFF867QEW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF496GRF	bigWig	bigWig		fold change over control	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF987XOV/	647670518	ENCODE Processing Pipeline	75694dc9cdd3490710dd74bcd4f03904		https://www.encodeproject.org/files/ENCFF496GRF/@@download/ENCFF496GRF.bigWig				released	s3://encode-public/2021/02/24/b9f2e4b0-d302-4c14-adb3-d659ae21cf42/ENCFF496GRF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/b9f2e4b0-d302-4c14-adb3-d659ae21cf42/ENCFF496GRF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF600FDO	bigWig	bigWig		signal p-value	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF512VEZ/, /files/ENCFF987XOV/	864219407	ENCODE Processing Pipeline	044f8568fb4c7735cf01e4f8d0d3e5b9		https://www.encodeproject.org/files/ENCFF600FDO/@@download/ENCFF600FDO.bigWig				released	s3://encode-public/2021/02/24/4a49d22a-7bd2-4f3b-84c9-ac21e8afb33a/ENCFF600FDO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/4a49d22a-7bd2-4f3b-84c9-ac21e8afb33a/ENCFF600FDO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF754EAC	bigWig	bigWig		fold change over control	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF512VEZ/, /files/ENCFF987XOV/	1152541890	ENCODE Processing Pipeline	bf61985c545b61370f8004fada805109		https://www.encodeproject.org/files/ENCFF754EAC/@@download/ENCFF754EAC.bigWig				released	s3://encode-public/2021/02/24/b1a5f637-dba2-4272-b09e-86316d037135/ENCFF754EAC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/b1a5f637-dba2-4272-b09e-86316d037135/ENCFF754EAC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF117MSK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF512VEZ/, /files/ENCFF356LFX/	2038046	ENCODE Processing Pipeline	0615fd674eebed01dca2b190b914fadd		https://www.encodeproject.org/files/ENCFF117MSK/@@download/ENCFF117MSK.bed.gz				released	s3://encode-public/2021/02/24/4045c0a6-6d2c-4799-8572-b4ef5a96e016/ENCFF117MSK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/4045c0a6-6d2c-4799-8572-b4ef5a96e016/ENCFF117MSK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF858JFG	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR483RKN	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-07-21	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF356LFX/, /files/ENCFF987XOV/	3563786	ENCODE Processing Pipeline	44ee67837769e9431136f19f47e722f1		https://www.encodeproject.org/files/ENCFF858JFG/@@download/ENCFF858JFG.bed.gz				released	s3://encode-public/2021/02/24/fd12bbc3-d1b4-4d79-91f1-a94c005299e0/ENCFF858JFG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/fd12bbc3-d1b4-4d79-91f1-a94c005299e0/ENCFF858JFG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
