File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF993BAP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF356LFX/, /files/ENCFF534DCE/	3651342	ENCODE Processing Pipeline	8061806ec707057ef73bf909cceab358		https://www.encodeproject.org/files/ENCFF993BAP/@@download/ENCFF993BAP.bed.gz				released	s3://encode-public/2021/03/16/a0ffff55-bd08-4fae-b910-06155f829974/ENCFF993BAP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/a0ffff55-bd08-4fae-b910-06155f829974/ENCFF993BAP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF223QDM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF077FBI/, /files/ENCFF128WZG/, /files/ENCFF356LFX/, /files/ENCFF534DCE/	4040861	ENCODE Processing Pipeline	614bc322c699f4dd106e7d1635e9b514		https://www.encodeproject.org/files/ENCFF223QDM/@@download/ENCFF223QDM.bed.gz				released	s3://encode-public/2021/03/16/bcbff5f5-b023-406e-969a-6edfe0ef7cd4/ENCFF223QDM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/bcbff5f5-b023-406e-969a-6edfe0ef7cd4/ENCFF223QDM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF128WZG	bam	bam		alignments	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1		99					/files/ENCFF924YGE/, /files/ENCFF168MQE/, /files/ENCFF493CCB/, /files/ENCFF212UAV/, /files/ENCFF703BGR/, /files/ENCFF774CPY/, /files/ENCFF160WRX/, /files/ENCFF140XLU/, /files/ENCFF110MCL/, /files/ENCFF098UCE/, /files/ENCFF819HSY/, /files/ENCFF356LFX/, /files/ENCFF903FIK/, /files/ENCFF304XEX/	7056946200	ENCODE Processing Pipeline	ed3d553646995be008241f6e75f57042		https://www.encodeproject.org/files/ENCFF128WZG/@@download/ENCFF128WZG.bam				released	s3://encode-public/2021/03/16/d0607f6a-198b-4c38-94ba-9161359a5500/ENCFF128WZG.bam	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/d0607f6a-198b-4c38-94ba-9161359a5500/ENCFF128WZG.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF135AEX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF077FBI/, /files/ENCFF128WZG/, /files/ENCFF356LFX/, /files/ENCFF534DCE/	3979733	ENCODE Processing Pipeline	fd84204db76475691f6f863a39f3b406		https://www.encodeproject.org/files/ENCFF135AEX/@@download/ENCFF135AEX.bed.gz				released	s3://encode-public/2021/03/16/e93a6211-3308-4f59-aaf0-9d0a1519219e/ENCFF135AEX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/e93a6211-3308-4f59-aaf0-9d0a1519219e/ENCFF135AEX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF581TPM	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF356LFX/, /files/ENCFF128WZG/	6087399	ENCODE Processing Pipeline	85411aa35f558f4b6a5b3c54423812de		https://www.encodeproject.org/files/ENCFF581TPM/@@download/ENCFF581TPM.bed.gz				released	s3://encode-public/2021/03/16/e2b895d4-8dc0-4e79-b58e-1b1c43fb061d/ENCFF581TPM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/e2b895d4-8dc0-4e79-b58e-1b1c43fb061d/ENCFF581TPM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF237LMR	bam	bam		unfiltered alignments	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1		99					/files/ENCFF924YGE/, /files/ENCFF168MQE/, /files/ENCFF703BGR/, /files/ENCFF774CPY/, /files/ENCFF160WRX/, /files/ENCFF098UCE/, /files/ENCFF819HSY/, /files/ENCFF110MCL/, /files/ENCFF903FIK/	15507235416	ENCODE Processing Pipeline	55132743d5a24d0078ca5cee39f6a233		https://www.encodeproject.org/files/ENCFF237LMR/@@download/ENCFF237LMR.bam				released	s3://encode-public/2021/03/16/8f729c31-df24-4cf4-9315-5efb94e5fcd9/ENCFF237LMR.bam	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/8f729c31-df24-4cf4-9315-5efb94e5fcd9/ENCFF237LMR.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF834HWH	bam	bam		unfiltered alignments	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	3	3_1		99					/files/ENCFF441SZZ/, /files/ENCFF742FCG/, /files/ENCFF827WXQ/, /files/ENCFF457HSH/, /files/ENCFF902AAO/, /files/ENCFF110MCL/, /files/ENCFF354EXH/, /files/ENCFF575ZTZ/, /files/ENCFF178ILL/	15911986632	ENCODE Processing Pipeline	8a88bd84e6533498cf3a9c52fb9bf90f		https://www.encodeproject.org/files/ENCFF834HWH/@@download/ENCFF834HWH.bam				released	s3://encode-public/2021/03/16/220fd7cd-b5c0-46f2-a5ae-b642451d7041/ENCFF834HWH.bam	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/220fd7cd-b5c0-46f2-a5ae-b642451d7041/ENCFF834HWH.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF019IPA	bigWig	bigWig		fold change over control	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF128WZG/	1685746445	ENCODE Processing Pipeline	789ad06d20cc5f1516e5efb38efdf355		https://www.encodeproject.org/files/ENCFF019IPA/@@download/ENCFF019IPA.bigWig				released	s3://encode-public/2021/03/16/1b0c21ed-a147-4010-8be3-ab1849b04fbf/ENCFF019IPA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/1b0c21ed-a147-4010-8be3-ab1849b04fbf/ENCFF019IPA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF771HDN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	2	2_1							/files/ENCFF356LFX/, /files/ENCFF128WZG/	3460380	ENCODE Processing Pipeline	c33029f57ad3b5e511d1fd1c2fd00c54		https://www.encodeproject.org/files/ENCFF771HDN/@@download/ENCFF771HDN.bed.gz				released	s3://encode-public/2021/03/16/b47fec71-c9c6-4706-99cf-8b848a370510/ENCFF771HDN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/b47fec71-c9c6-4706-99cf-8b848a370510/ENCFF771HDN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF516AAK	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF077FBI/, /files/ENCFF128WZG/, /files/ENCFF534DCE/	14321531	ENCODE Processing Pipeline	cf15b31ca7f0415e60019ace33dac72b		https://www.encodeproject.org/files/ENCFF516AAK/@@download/ENCFF516AAK.bed.gz				released	s3://encode-public/2021/03/16/4a0c2e8c-3ea6-41d9-85ae-1a03d14ce792/ENCFF516AAK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/4a0c2e8c-3ea6-41d9-85ae-1a03d14ce792/ENCFF516AAK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
