File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF036TCU	bigWig	bigWig		signal p-value	GRCh38	ENCSR591ASD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7003/'], '@type': ['Target', 'Item'], 'name': 'TEAD1-human', 'label': 'TEAD1', '@id': '/targets/TEAD1-human/', 'title': 'TEAD1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '8a929742-012b-441c-a1b0-3dfaa7d78ef7', 'status': 'released'}				TEAD1-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF828UGP/, /files/ENCFF898EHY/	1527074707	ENCODE Processing Pipeline	492538f91bddc87fb60725bedc9050c2		https://www.encodeproject.org/files/ENCFF036TCU/@@download/ENCFF036TCU.bigWig				released	s3://encode-public/2020/07/01/05c00ec9-3098-41d3-a639-856334d8d02e/ENCFF036TCU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/05c00ec9-3098-41d3-a639-856334d8d02e/ENCFF036TCU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF692HUD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR591ASD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7003/'], '@type': ['Target', 'Item'], 'name': 'TEAD1-human', 'label': 'TEAD1', '@id': '/targets/TEAD1-human/', 'title': 'TEAD1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '8a929742-012b-441c-a1b0-3dfaa7d78ef7', 'status': 'released'}				TEAD1-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF828UGP/, /files/ENCFF898EHY/, /files/ENCFF356LFX/	241679	ENCODE Processing Pipeline	2a757edbb0176202260cf86161cc4713		https://www.encodeproject.org/files/ENCFF692HUD/@@download/ENCFF692HUD.bed.gz				released	s3://encode-public/2020/07/01/7878f188-1bc0-41c5-9c85-995338f49780/ENCFF692HUD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/7878f188-1bc0-41c5-9c85-995338f49780/ENCFF692HUD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF465AQA	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR591ASD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7003/'], '@type': ['Target', 'Item'], 'name': 'TEAD1-human', 'label': 'TEAD1', '@id': '/targets/TEAD1-human/', 'title': 'TEAD1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '8a929742-012b-441c-a1b0-3dfaa7d78ef7', 'status': 'released'}				TEAD1-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF692HUD/	463966	ENCODE Processing Pipeline	e14d2ae835d6c7c4e3091137e4cb7021		https://www.encodeproject.org/files/ENCFF465AQA/@@download/ENCFF465AQA.bigBed				released	s3://encode-public/2020/07/01/ab02ce97-071f-45c3-a99a-f1e462025980/ENCFF465AQA.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/ab02ce97-071f-45c3-a99a-f1e462025980/ENCFF465AQA.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF397QGU	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR578KEN	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:USF2'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7392/'], '@type': ['Target', 'Item'], 'label': 'USF2', 'title': 'USF2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '32ba2628-c5b4-40c4-bad6-f299d4eb068d', 'schema_version': '14', 'name': 'USF2-human', '@id': '/targets/USF2-human/', 'status': 'released'}				USF2-human	DNA				formaldehyde		2020-06-30	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF289ZIR/	597972	ENCODE Processing Pipeline	bff2c95aedb28ea0d6358ee240981512		https://www.encodeproject.org/files/ENCFF397QGU/@@download/ENCFF397QGU.bigBed				released	s3://encode-public/2020/06/27/c808cfef-fa31-40e4-b3b1-d546a3b87a5a/ENCFF397QGU.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/06/27/c808cfef-fa31-40e4-b3b1-d546a3b87a5a/ENCFF397QGU.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	missing genetic modification reagents		
ENCFF788SPW	bigWig	bigWig		signal p-value	GRCh38	ENCSR578KEN	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:USF2'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7392/'], '@type': ['Target', 'Item'], 'label': 'USF2', 'title': 'USF2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '32ba2628-c5b4-40c4-bad6-f299d4eb068d', 'schema_version': '14', 'name': 'USF2-human', '@id': '/targets/USF2-human/', 'status': 'released'}				USF2-human	DNA				formaldehyde		2020-06-30	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF163KDZ/, /files/ENCFF004PZH/, /files/ENCFF198XCA/	915360651	ENCODE Processing Pipeline	4d8d5d2f13d45abc0300f587c0a6c7cf		https://www.encodeproject.org/files/ENCFF788SPW/@@download/ENCFF788SPW.bigWig				released	s3://encode-public/2020/06/27/78fff0bf-5235-4ccf-847d-421ff0fb5088/ENCFF788SPW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/06/27/78fff0bf-5235-4ccf-847d-421ff0fb5088/ENCFF788SPW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	missing genetic modification reagents		
ENCFF289ZIR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR578KEN	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:USF2'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7392/'], '@type': ['Target', 'Item'], 'label': 'USF2', 'title': 'USF2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '32ba2628-c5b4-40c4-bad6-f299d4eb068d', 'schema_version': '14', 'name': 'USF2-human', '@id': '/targets/USF2-human/', 'status': 'released'}				USF2-human	DNA				formaldehyde		2020-06-30	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF163KDZ/, /files/ENCFF004PZH/, /files/ENCFF198XCA/, /files/ENCFF356LFX/	296929	ENCODE Processing Pipeline	b56a26efdacc99d462b55eccc4a8602e		https://www.encodeproject.org/files/ENCFF289ZIR/@@download/ENCFF289ZIR.bed.gz				released	s3://encode-public/2020/06/27/b4d1fae2-9179-4233-b543-ac63fdf6557b/ENCFF289ZIR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/06/27/b4d1fae2-9179-4233-b543-ac63fdf6557b/ENCFF289ZIR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	missing genetic modification reagents		
ENCFF718DSJ	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR376XAV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4088/'], '@type': ['Target', 'Item'], 'name': 'SMAD3-human', 'label': 'SMAD3', '@id': '/targets/SMAD3-human/', 'title': 'SMAD3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'b5562651-8cc2-41d7-8e77-ea9511087f28', 'status': 'released'}				SMAD3-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF089XMF/, /files/ENCFF356LFX/, /files/ENCFF975GAC/	144560	ENCODE Processing Pipeline	20ae398fd04e24d5a1004d32c84049cc		https://www.encodeproject.org/files/ENCFF718DSJ/@@download/ENCFF718DSJ.bed.gz				released	s3://encode-public/2020/07/03/f3795b6e-44c9-4def-ac2d-f52b0eb7e65b/ENCFF718DSJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/03/f3795b6e-44c9-4def-ac2d-f52b0eb7e65b/ENCFF718DSJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF529QQI	bigWig	bigWig		signal p-value	GRCh38	ENCSR376XAV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4088/'], '@type': ['Target', 'Item'], 'name': 'SMAD3-human', 'label': 'SMAD3', '@id': '/targets/SMAD3-human/', 'title': 'SMAD3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'b5562651-8cc2-41d7-8e77-ea9511087f28', 'status': 'released'}				SMAD3-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF089XMF/, /files/ENCFF174OKT/, /files/ENCFF975GAC/	1113200357	ENCODE Processing Pipeline	fdd63695eb81a0bd299a2c2ef6a5945c		https://www.encodeproject.org/files/ENCFF529QQI/@@download/ENCFF529QQI.bigWig				released	s3://encode-public/2020/07/03/914d7513-8457-4bbf-9bab-700658677caf/ENCFF529QQI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/07/03/914d7513-8457-4bbf-9bab-700658677caf/ENCFF529QQI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF885DQE	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR376XAV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4088/'], '@type': ['Target', 'Item'], 'name': 'SMAD3-human', 'label': 'SMAD3', '@id': '/targets/SMAD3-human/', 'title': 'SMAD3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'b5562651-8cc2-41d7-8e77-ea9511087f28', 'status': 'released'}				SMAD3-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF718DSJ/	313874	ENCODE Processing Pipeline	d6d95a816d90aa5f64744c8bf267d842		https://www.encodeproject.org/files/ENCFF885DQE/@@download/ENCFF885DQE.bigBed				released	s3://encode-public/2020/07/03/102537e8-07d8-49a8-8046-3786b35a325f/ENCFF885DQE.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/07/03/102537e8-07d8-49a8-8046-3786b35a325f/ENCFF885DQE.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF744MAU	bigWig	bigWig		signal p-value	GRCh38	ENCSR492FKD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-896'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/113835/'], '@type': ['Target', 'Item'], 'name': 'ZNF257-human', 'label': 'ZNF257', '@id': '/targets/ZNF257-human/', 'title': 'ZNF257 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '825376ef-b2b4-4a04-8669-9f1c2f2bd99c', 'status': 'released'}				ZNF257-human	DNA						2021-01-06	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_2, 2_2							/files/ENCFF840PAF/, /files/ENCFF174OKT/, /files/ENCFF122YSZ/	1085045886	ENCODE Processing Pipeline	cd63739cb5c611f4588257d63e2db9f0		https://www.encodeproject.org/files/ENCFF744MAU/@@download/ENCFF744MAU.bigWig				released	s3://encode-public/2020/11/11/28253ca5-0eeb-4a02-b1c5-3f88cfb5c5cd/ENCFF744MAU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/11/28253ca5-0eeb-4a02-b1c5-3f88cfb5c5cd/ENCFF744MAU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	matching md5 sums, mild to moderate bottlenecking, moderate library complexity		
