Assay	Index_Experiment	Index_File	File_Type	Output_Type	Genome	Target	Analysis	RFA	md5sum	File_Name	File_Url
TF ChIP-seq	ENCSR228ELU	ENCFF069LRH	bigWig	fold change over control	GRCh38	TEAD1	ENCODE4 v1.8.0 GRCh38	ENCODE4	c30741767636bacad0a5be17aabe2091	ENCFF069LRH.bigWig	https://www.encodeproject.org/files/ENCFF069LRH/@@download/ENCFF069LRH.bigWig
TF ChIP-seq	ENCSR228ELU	ENCFF105HVH	bed narrowPeak	IDR thresholded peaks	GRCh38	TEAD1	ENCODE4 v1.8.0 GRCh38	ENCODE4	add6b67d6290baeaa2158f6f6de00292	ENCFF105HVH.bed.gz	https://www.encodeproject.org/files/ENCFF105HVH/@@download/ENCFF105HVH.bed.gz
TF ChIP-seq	ENCSR228ELU	ENCFF214SNH	bed narrowPeak	IDR thresholded peaks	GRCh38	TEAD1	ENCODE4 v1.8.0 GRCh38	ENCODE4	a864ccf68ff3ca9e7539f90ef7208260	ENCFF214SNH.bed.gz	https://www.encodeproject.org/files/ENCFF214SNH/@@download/ENCFF214SNH.bed.gz
TF ChIP-seq	ENCSR228ELU	ENCFF260VPF	bigWig	signal p-value	GRCh38	TEAD1	ENCODE4 v1.8.0 GRCh38	ENCODE4	2d04ab8701a66277c5a831eec2560971	ENCFF260VPF.bigWig	https://www.encodeproject.org/files/ENCFF260VPF/@@download/ENCFF260VPF.bigWig
TF ChIP-seq	ENCSR228ELU	ENCFF038QYW	bigWig	signal p-value	GRCh38	TEAD1	ENCODE4 v1.8.0 GRCh38	ENCODE4	b6b93bfb75a2f06e3922589a96e31d10	ENCFF038QYW.bigWig	https://www.encodeproject.org/files/ENCFF038QYW/@@download/ENCFF038QYW.bigWig
TF ChIP-seq	ENCSR228ELU	ENCFF861CZZ	bigWig	signal p-value	GRCh38	TEAD1	ENCODE4 v1.8.0 GRCh38	ENCODE4	72ae7ba039136f378309b6ffc7a8d1e3	ENCFF861CZZ.bigWig	https://www.encodeproject.org/files/ENCFF861CZZ/@@download/ENCFF861CZZ.bigWig
TF ChIP-seq	ENCSR228ELU	ENCFF039UUS	bigWig	fold change over control	GRCh38	TEAD1	ENCODE4 v1.8.0 GRCh38	ENCODE4	4bb97f8c51c9ba3810919e6b944c7078	ENCFF039UUS.bigWig	https://www.encodeproject.org/files/ENCFF039UUS/@@download/ENCFF039UUS.bigWig
TF ChIP-seq	ENCSR228ELU	ENCFF459UHX	bed narrowPeak	IDR thresholded peaks	GRCh38	TEAD1	ENCODE4 v1.8.0 GRCh38	ENCODE4	aee62f50a382d9d45c6eab392e9468d0	ENCFF459UHX.bed.gz	https://www.encodeproject.org/files/ENCFF459UHX/@@download/ENCFF459UHX.bed.gz
TF ChIP-seq	ENCSR228ELU	ENCFF018IVF	bed narrowPeak	conservative IDR thresholded peaks	GRCh38	TEAD1	ENCODE4 v1.8.0 GRCh38	ENCODE4	f1b93679640f6b004d6f3ef16b49e50a	ENCFF018IVF.bed.gz	https://www.encodeproject.org/files/ENCFF018IVF/@@download/ENCFF018IVF.bed.gz
TF ChIP-seq	ENCSR228ELU	ENCFF416ZNZ	bigWig	fold change over control	GRCh38	TEAD1	ENCODE4 v1.8.0 GRCh38	ENCODE4	0410975cc8b2fde809baf60b5230001a	ENCFF416ZNZ.bigWig	https://www.encodeproject.org/files/ENCFF416ZNZ/@@download/ENCFF416ZNZ.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF647USW	bigWig	signal p-value	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	662ca3a1156908814705dc3f8816bcb9	ENCFF647USW.bigWig	https://www.encodeproject.org/files/ENCFF647USW/@@download/ENCFF647USW.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF716MRV	bigWig	signal p-value	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	cc0c5bf0bb24d43b75e6de75f3bb9ca9	ENCFF716MRV.bigWig	https://www.encodeproject.org/files/ENCFF716MRV/@@download/ENCFF716MRV.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF185FTA	bigWig	signal p-value	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	1304e9d12e857b4054971db5e93c878c	ENCFF185FTA.bigWig	https://www.encodeproject.org/files/ENCFF185FTA/@@download/ENCFF185FTA.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF382CKL	bigWig	fold change over control	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	d20f10f3b15289209093310c0f4f5b7a	ENCFF382CKL.bigWig	https://www.encodeproject.org/files/ENCFF382CKL/@@download/ENCFF382CKL.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF343YGK	bigWig	fold change over control	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	04d8abd4a80ef7d4b256d9e022477c07	ENCFF343YGK.bigWig	https://www.encodeproject.org/files/ENCFF343YGK/@@download/ENCFF343YGK.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF497LRA	bed narrowPeak	peaks and background as input for IDR	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	5b959489a4fdb4f721d7a2695c3f6079	ENCFF497LRA.bed.gz	https://www.encodeproject.org/files/ENCFF497LRA/@@download/ENCFF497LRA.bed.gz
TF ChIP-seq	ENCSR000DKA	ENCFF879COR	bigWig	fold change over control	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	77b73cc61c7381ed5408619b7eed506c	ENCFF879COR.bigWig	https://www.encodeproject.org/files/ENCFF879COR/@@download/ENCFF879COR.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF960LWB	bed narrowPeak	peaks and background as input for IDR	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	6df184b646ff792f12ea19a54b11110a	ENCFF960LWB.bed.gz	https://www.encodeproject.org/files/ENCFF960LWB/@@download/ENCFF960LWB.bed.gz
TF ChIP-seq	ENCSR000DKA	ENCFF776QVY	bed narrowPeak	peaks and background as input for IDR	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	c941381935683b1e91a01147dee2df40	ENCFF776QVY.bed.gz	https://www.encodeproject.org/files/ENCFF776QVY/@@download/ENCFF776QVY.bed.gz
TF ChIP-seq	ENCSR000DKA	ENCFF997NUA	bed narrowPeak	optimal IDR thresholded peaks	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	6e6fbb7e4e34db3c1698ef089d41790b	ENCFF997NUA.bed.gz	https://www.encodeproject.org/files/ENCFF997NUA/@@download/ENCFF997NUA.bed.gz
TF ChIP-seq	ENCSR000DKA	ENCFF333IVK	bed narrowPeak	conservative IDR thresholded peaks	GRCh38	GATA2	ENCODE3 GRCh38	ENCODE2	8e08a706ad3498fd94909dc46d52daf0	ENCFF333IVK.bed.gz	https://www.encodeproject.org/files/ENCFF333IVK/@@download/ENCFF333IVK.bed.gz
TF ChIP-seq	ENCSR000DKA	ENCFF300PQC	bigWig	signal p-value	GRCh38	GATA2	ENCODE4 v1.6.1 GRCh38	ENCODE2	57b21a5c524c264b74fa78a1c51b1c81	ENCFF300PQC.bigWig	https://www.encodeproject.org/files/ENCFF300PQC/@@download/ENCFF300PQC.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF164TWZ	bigWig	signal p-value	GRCh38	GATA2	ENCODE4 v1.6.1 GRCh38	ENCODE2	1b80d49607814d643c0585a9fd226579	ENCFF164TWZ.bigWig	https://www.encodeproject.org/files/ENCFF164TWZ/@@download/ENCFF164TWZ.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF835GNO	bigWig	fold change over control	GRCh38	GATA2	ENCODE4 v1.6.1 GRCh38	ENCODE2	b29a86c4cd75122f9668b28dc53b731a	ENCFF835GNO.bigWig	https://www.encodeproject.org/files/ENCFF835GNO/@@download/ENCFF835GNO.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF790FLJ	bigWig	fold change over control	GRCh38	GATA2	ENCODE4 v1.6.1 GRCh38	ENCODE2	5169dd66812b31a02aedf7040af9592c	ENCFF790FLJ.bigWig	https://www.encodeproject.org/files/ENCFF790FLJ/@@download/ENCFF790FLJ.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF319JRY	bigWig	signal p-value	GRCh38	GATA2	ENCODE4 v1.6.1 GRCh38	ENCODE2	8028cdfb3a9d68da19a7550279701540	ENCFF319JRY.bigWig	https://www.encodeproject.org/files/ENCFF319JRY/@@download/ENCFF319JRY.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF602MQL	bigWig	fold change over control	GRCh38	GATA2	ENCODE4 v1.6.1 GRCh38	ENCODE2	8098dec382e1c0df4ed69556dafa6514	ENCFF602MQL.bigWig	https://www.encodeproject.org/files/ENCFF602MQL/@@download/ENCFF602MQL.bigWig
TF ChIP-seq	ENCSR000DKA	ENCFF963WCG	bed narrowPeak	IDR thresholded peaks	GRCh38	GATA2	ENCODE4 v1.6.1 GRCh38	ENCODE2	0f7357c50be8221e8e2197b02bcc3a19	ENCFF963WCG.bed.gz	https://www.encodeproject.org/files/ENCFF963WCG/@@download/ENCFF963WCG.bed.gz
TF ChIP-seq	ENCSR000DKA	ENCFF639CXK	bed narrowPeak	IDR thresholded peaks	GRCh38	GATA2	ENCODE4 v1.6.1 GRCh38	ENCODE2	70c576e01e4518bb63f1ef5d7b563caf	ENCFF639CXK.bed.gz	https://www.encodeproject.org/files/ENCFF639CXK/@@download/ENCFF639CXK.bed.gz
TF ChIP-seq	ENCSR000DKA	ENCFF165ZEP	bed narrowPeak	IDR thresholded peaks	GRCh38	GATA2	ENCODE4 v1.6.1 GRCh38	ENCODE2	eb34fc26945d28a7df54b336aa7904e9	ENCFF165ZEP.bed.gz	https://www.encodeproject.org/files/ENCFF165ZEP/@@download/ENCFF165ZEP.bed.gz
TF ChIP-seq	ENCSR000DKA	ENCFF154DPO	bed narrowPeak	conservative IDR thresholded peaks	GRCh38	GATA2	ENCODE4 v1.6.1 GRCh38	ENCODE2	4915890c6e046949daa028e316abec5a	ENCFF154DPO.bed.gz	https://www.encodeproject.org/files/ENCFF154DPO/@@download/ENCFF154DPO.bed.gz
TF ChIP-seq	ENCSR000BMR	ENCFF341OAI	bigWig	signal p-value	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	2ad99c6d168fe654e62a8c21cdd5435f	ENCFF341OAI.bigWig	https://www.encodeproject.org/files/ENCFF341OAI/@@download/ENCFF341OAI.bigWig
TF ChIP-seq	ENCSR000BMR	ENCFF537OJY	bigWig	signal p-value	GRCh38	POLR2A	ENCODE3 GRCh38	ENCODE2	0b0f31dc423d05877122642357f9addf	ENCFF537OJY.bigWig	https://www.encodeproject.org/files/ENCFF537OJY/@@download/ENCFF537OJY.bigWig
