File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF461RKK	bigWig	bigWig		signal p-value	GRCh38	ENCSR000EWA	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me3-human	DNA						2011-05-19	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF181ANT/, /files/ENCFF747HEB/, /files/ENCFF355LXQ/	510104216	ENCODE Processing Pipeline	46d7c60097cc9a09d3c3bede8302f01b		https://www.encodeproject.org/files/ENCFF461RKK/@@download/ENCFF461RKK.bigWig				released	s3://encode-public/2020/09/29/120fbb5a-db8e-464e-bdeb-9e72fdbb380b/ENCFF461RKK.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/120fbb5a-db8e-464e-bdeb-9e72fdbb380b/ENCFF461RKK.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, moderate library complexity, inconsistent platforms		
ENCFF122CSI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000EWA	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me3-human	DNA						2011-05-19	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF181ANT/, /files/ENCFF747HEB/, /files/ENCFF355LXQ/, /files/ENCFF356LFX/	663053	ENCODE Processing Pipeline	e5694050796ccb5eeace1e6a4efec34d		https://www.encodeproject.org/files/ENCFF122CSI/@@download/ENCFF122CSI.bed.gz				released	s3://encode-public/2020/09/29/f70dc6ea-ac1b-4167-a054-e3dfb1f6684f/ENCFF122CSI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/f70dc6ea-ac1b-4167-a054-e3dfb1f6684f/ENCFF122CSI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, moderate library complexity, inconsistent platforms		
ENCFF801AHF	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000EWB	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K27me3-human	DNA						2011-05-19	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF652TXG/, /files/ENCFF355LXQ/, /files/ENCFF508LLH/	3187579	ENCODE Processing Pipeline	e2bef555c66ac7cb95dd56dc3339420f		https://www.encodeproject.org/files/ENCFF801AHF/@@download/ENCFF801AHF.bed.gz				released	s3://encode-public/2020/11/01/3c1bac8c-3835-413b-a600-197421de4a1c/ENCFF801AHF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/3c1bac8c-3835-413b-a600-197421de4a1c/ENCFF801AHF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	released	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF847BFA	bigWig	bigWig		signal p-value	GRCh38	ENCSR000EWB	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K27me3-human	DNA						2011-05-19	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF652TXG/, /files/ENCFF355LXQ/, /files/ENCFF508LLH/	642137975	ENCODE Processing Pipeline	5afea5675fa090dad11c5a5ed9568ce4		https://www.encodeproject.org/files/ENCFF847BFA/@@download/ENCFF847BFA.bigWig				released	s3://encode-public/2020/11/01/57b9e89b-ef43-48ae-b322-65d12770d521/ENCFF847BFA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/57b9e89b-ef43-48ae-b322-65d12770d521/ENCFF847BFA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	released	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF193ERO	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AKR	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-10	ENCODE		see document	300-600	1, 2, 3	1_1, 2_1, 3_1, 3_2							/files/ENCFF356LFX/, /files/ENCFF925FDY/, /files/ENCFF594GRL/, /files/ENCFF801CHE/, /files/ENCFF226FKB/, /files/ENCFF420ARY/, /files/ENCFF666YXZ/	3759744	ENCODE Processing Pipeline	f66a73f2377a38c4ba6c1d4405fd41a5		https://www.encodeproject.org/files/ENCFF193ERO/@@download/ENCFF193ERO.bed.gz				released	s3://encode-public/2022/06/14/3e6e3aff-d6a6-4d0e-96c6-1a4d697dae75/ENCFF193ERO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/14/3e6e3aff-d6a6-4d0e-96c6-1a4d697dae75/ENCFF193ERO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF605EVL	bigWig	bigWig		signal p-value	GRCh38	ENCSR000AKR	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-10	ENCODE		see document	300-600	1, 2, 3	1_1, 2_1, 3_1, 3_2							/files/ENCFF925FDY/, /files/ENCFF594GRL/, /files/ENCFF801CHE/, /files/ENCFF226FKB/, /files/ENCFF420ARY/, /files/ENCFF666YXZ/	1320564946	ENCODE Processing Pipeline	c160804206370a082afe6e48ce3ec939		https://www.encodeproject.org/files/ENCFF605EVL/@@download/ENCFF605EVL.bigWig				released	s3://encode-public/2022/06/14/7329c512-bf93-42ce-9687-ec757c44e4da/ENCFF605EVL.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/06/14/7329c512-bf93-42ce-9687-ec757c44e4da/ENCFF605EVL.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF632NQA	bigWig	bigWig		signal p-value	GRCh38	ENCSR000APE	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K9me3-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF420ARY/, /files/ENCFF155UQU/, /files/ENCFF104THG/, /files/ENCFF226FKB/, /files/ENCFF666YXZ/	941845795	ENCODE Processing Pipeline	c695b7694f6c8b02e8bf13c871c387cf		https://www.encodeproject.org/files/ENCFF632NQA/@@download/ENCFF632NQA.bigWig				released	s3://encode-public/2020/10/29/7fd58647-c873-4212-a98f-c2004962f68b/ENCFF632NQA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/29/7fd58647-c873-4212-a98f-c2004962f68b/ENCFF632NQA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, inconsistent platforms, low read depth	insufficient read depth, control insufficient read depth	
ENCFF963GZJ	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000APE	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K9me3-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF420ARY/, /files/ENCFF155UQU/, /files/ENCFF104THG/, /files/ENCFF226FKB/, /files/ENCFF666YXZ/, /files/ENCFF356LFX/	514136	ENCODE Processing Pipeline	8e71cfdb547cdb5057d99d12d7be3ba6		https://www.encodeproject.org/files/ENCFF963GZJ/@@download/ENCFF963GZJ.bed.gz				released	s3://encode-public/2020/10/29/adbf24b0-dd0e-4247-bed5-b91c2aa68f92/ENCFF963GZJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/29/adbf24b0-dd0e-4247-bed5-b91c2aa68f92/ENCFF963GZJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, inconsistent platforms, low read depth	insufficient read depth, control insufficient read depth	
ENCFF287LBI	bigWig	bigWig		signal p-value	GRCh38	ENCSR000EWC	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me1-human	DNA						2011-10-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF355LXQ/, /files/ENCFF089KHK/, /files/ENCFF229LAF/	519654193	ENCODE Processing Pipeline	28df1a757a2e5517209c10d57f0ce03e		https://www.encodeproject.org/files/ENCFF287LBI/@@download/ENCFF287LBI.bigWig				released	s3://encode-public/2020/10/29/9b1c8797-f9ce-4cde-86ae-3f9295e21756/ENCFF287LBI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/29/9b1c8797-f9ce-4cde-86ae-3f9295e21756/ENCFF287LBI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length, moderate library complexity, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF540NGG	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000EWC	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me1-human	DNA						2011-10-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF355LXQ/, /files/ENCFF089KHK/, /files/ENCFF229LAF/, /files/ENCFF356LFX/	2819153	ENCODE Processing Pipeline	63db47e5b9b98dbebff2ce20df066106		https://www.encodeproject.org/files/ENCFF540NGG/@@download/ENCFF540NGG.bed.gz				released	s3://encode-public/2020/10/29/19b7a2c0-1454-4172-806b-5c0cdbc98f3c/ENCFF540NGG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/29/19b7a2c0-1454-4172-806b-5c0cdbc98f3c/ENCFF540NGG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length, moderate library complexity, inconsistent platforms	insufficient read depth, control insufficient read depth	
