Assay	Index_Experiment	Index_File	File_Type	Output_Type	Genome	Target	Analysis	RFA	md5sum	File_Name	File_Url
TF ChIP-seq	ENCSR800KMQ	ENCFF124KCE	bed narrowPeak	IDR thresholded peaks	GRCh38	ZBTB43	ENCODE4 v1.8.0 GRCh38	ENCODE4	3154aa211bac58ce311f643c7aa9023e	ENCFF124KCE.bed.gz	https://www.encodeproject.org/files/ENCFF124KCE/@@download/ENCFF124KCE.bed.gz
TF ChIP-seq	ENCSR800KMQ	ENCFF334ZCX	bigWig	signal p-value	GRCh38	ZBTB43	ENCODE4 v1.8.0 GRCh38	ENCODE4	cf6a2fcaf92a09842452f7fa7437e777	ENCFF334ZCX.bigWig	https://www.encodeproject.org/files/ENCFF334ZCX/@@download/ENCFF334ZCX.bigWig
TF ChIP-seq	ENCSR744GHR	ENCFF173QUY	bed narrowPeak	IDR thresholded peaks	GRCh38	E2F5	ENCODE4 v1.8.0 GRCh38	ENCODE4	8a96fec76b8ca5f6a49053f771395398	ENCFF173QUY.bed.gz	https://www.encodeproject.org/files/ENCFF173QUY/@@download/ENCFF173QUY.bed.gz
TF ChIP-seq	ENCSR744GHR	ENCFF225ZXF	bigWig	signal p-value	GRCh38	E2F5	ENCODE4 v1.8.0 GRCh38	ENCODE4	f93dd0cf2464e0bebcd6962ca9408aef	ENCFF225ZXF.bigWig	https://www.encodeproject.org/files/ENCFF225ZXF/@@download/ENCFF225ZXF.bigWig
TF ChIP-seq	ENCSR609ZLF	ENCFF664RMA	bigWig	signal p-value	GRCh38	ZNF431	ENCODE4 v1.8.0 GRCh38	ENCODE4	e08801e0efbf200953ed04dbbb248a65	ENCFF664RMA.bigWig	https://www.encodeproject.org/files/ENCFF664RMA/@@download/ENCFF664RMA.bigWig
TF ChIP-seq	ENCSR609ZLF	ENCFF442RYH	bed narrowPeak	IDR thresholded peaks	GRCh38	ZNF431	ENCODE4 v1.8.0 GRCh38	ENCODE4	669a8026899ad806b39d40da6c2e66d1	ENCFF442RYH.bed.gz	https://www.encodeproject.org/files/ENCFF442RYH/@@download/ENCFF442RYH.bed.gz
TF ChIP-seq	ENCSR696URR	ENCFF817EJA	bed narrowPeak	IDR thresholded peaks	GRCh38	ZNF512	ENCODE4 v1.8.0 GRCh38	ENCODE4	e902146507b7f8d5255d3e1b4b7f0f69	ENCFF817EJA.bed.gz	https://www.encodeproject.org/files/ENCFF817EJA/@@download/ENCFF817EJA.bed.gz
TF ChIP-seq	ENCSR696URR	ENCFF561LEK	bigWig	signal p-value	GRCh38	ZNF512	ENCODE4 v1.8.0 GRCh38	ENCODE4	9d617e6e618376dec10e414f27c66f11	ENCFF561LEK.bigWig	https://www.encodeproject.org/files/ENCFF561LEK/@@download/ENCFF561LEK.bigWig
TF ChIP-seq	ENCSR645ZWR	ENCFF894XDV	bigWig	signal p-value	GRCh38	IRF2	ENCODE4 v1.8.1 GRCh38	ENCODE4	5f9e3d577b0fef7a95855c4df0c62b84	ENCFF894XDV.bigWig	https://www.encodeproject.org/files/ENCFF894XDV/@@download/ENCFF894XDV.bigWig
TF ChIP-seq	ENCSR645ZWR	ENCFF430YXJ	bed narrowPeak	IDR thresholded peaks	GRCh38	IRF2	ENCODE4 v1.8.1 GRCh38	ENCODE4	6b1da25b7cdbe3f2993a8fa36995e18d	ENCFF430YXJ.bed.gz	https://www.encodeproject.org/files/ENCFF430YXJ/@@download/ENCFF430YXJ.bed.gz
TF ChIP-seq	ENCSR124YFA	ENCFF039XEB	bigWig	signal p-value	GRCh38	ZNF124	ENCODE4 v1.8.1 GRCh38	ENCODE4	b66127bc9a875a3e29d0b8f928b79d71	ENCFF039XEB.bigWig	https://www.encodeproject.org/files/ENCFF039XEB/@@download/ENCFF039XEB.bigWig
TF ChIP-seq	ENCSR124YFA	ENCFF881MMD	bed narrowPeak	IDR thresholded peaks	GRCh38	ZNF124	ENCODE4 v1.8.1 GRCh38	ENCODE4	a1b891edfaa3c0d1a10aa958aeb75c82	ENCFF881MMD.bed.gz	https://www.encodeproject.org/files/ENCFF881MMD/@@download/ENCFF881MMD.bed.gz
TF ChIP-seq	ENCSR163VTS	ENCFF223WHH	bigWig	signal p-value	GRCh38	NFYA	ENCODE4 v1.8.0 GRCh38	ENCODE4	c960eb820b4f3578ec907e1e09d0fcd7	ENCFF223WHH.bigWig	https://www.encodeproject.org/files/ENCFF223WHH/@@download/ENCFF223WHH.bigWig
TF ChIP-seq	ENCSR163VTS	ENCFF786CRW	bed narrowPeak	IDR thresholded peaks	GRCh38	NFYA	ENCODE4 v1.8.0 GRCh38	ENCODE4	9fd1a4986fde22bc030c9024ce1a0858	ENCFF786CRW.bed.gz	https://www.encodeproject.org/files/ENCFF786CRW/@@download/ENCFF786CRW.bed.gz
TF ChIP-seq	ENCSR392JVX	ENCFF597TBU	bigWig	signal p-value	GRCh38	ELK1	ENCODE4 v1.8.1 GRCh38	ENCODE4	3257c75d6a0d8ca75e7c8ee786c4d6fa	ENCFF597TBU.bigWig	https://www.encodeproject.org/files/ENCFF597TBU/@@download/ENCFF597TBU.bigWig
TF ChIP-seq	ENCSR392JVX	ENCFF586MZX	bed narrowPeak	IDR thresholded peaks	GRCh38	ELK1	ENCODE4 v1.8.1 GRCh38	ENCODE4	9b53c324c117cb28a957665cfe659da4	ENCFF586MZX.bed.gz	https://www.encodeproject.org/files/ENCFF586MZX/@@download/ENCFF586MZX.bed.gz
