File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF086FAZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR939CDD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/51742/'], '@type': ['Target', 'Item'], 'name': 'ARID4B-human', 'label': 'ARID4B', '@id': '/targets/ARID4B-human/', 'title': 'ARID4B (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'afe64f25-e1eb-4294-a935-d8cc434e6584', 'status': 'released'}				ARID4B-human	DNA				formaldehyde		2022-01-13	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF604PVE/, /files/ENCFF041EBZ/, /files/ENCFF356LFX/, /files/ENCFF103GBM/	339617	ENCODE Processing Pipeline	5c32882156ff9a8d1042cf91c0d37de0		https://www.encodeproject.org/files/ENCFF086FAZ/@@download/ENCFF086FAZ.bed.gz				released	s3://encode-public/2022/01/07/26f72436-2c95-4715-89ed-dce175a21106/ENCFF086FAZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/01/07/26f72436-2c95-4715-89ed-dce175a21106/ENCFF086FAZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	missing genetic modification reagents, mild to moderate bottlenecking		
ENCFF688CNT	bigWig	bigWig		signal p-value	GRCh38	ENCSR939CDD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/51742/'], '@type': ['Target', 'Item'], 'name': 'ARID4B-human', 'label': 'ARID4B', '@id': '/targets/ARID4B-human/', 'title': 'ARID4B (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'afe64f25-e1eb-4294-a935-d8cc434e6584', 'status': 'released'}				ARID4B-human	DNA				formaldehyde		2022-01-13	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF041EBZ/, /files/ENCFF604PVE/, /files/ENCFF103GBM/	551171540	ENCODE Processing Pipeline	2edb18d0aa76e47d9905e9e6bfcc06e8		https://www.encodeproject.org/files/ENCFF688CNT/@@download/ENCFF688CNT.bigWig				released	s3://encode-public/2022/01/07/1bfbbe00-331c-40cb-87aa-9bb7f7def3e1/ENCFF688CNT.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/01/07/1bfbbe00-331c-40cb-87aa-9bb7f7def3e1/ENCFF688CNT.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	missing genetic modification reagents, mild to moderate bottlenecking		
ENCFF791HBV	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR939CDD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/51742/'], '@type': ['Target', 'Item'], 'name': 'ARID4B-human', 'label': 'ARID4B', '@id': '/targets/ARID4B-human/', 'title': 'ARID4B (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'afe64f25-e1eb-4294-a935-d8cc434e6584', 'status': 'released'}				ARID4B-human	DNA				formaldehyde		2022-01-13	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF086FAZ/	758345	ENCODE Processing Pipeline	b61a355afcb127672259bc8ad0e69aef		https://www.encodeproject.org/files/ENCFF791HBV/@@download/ENCFF791HBV.bigBed				released	s3://encode-public/2022/01/07/5f737a63-3249-4cd3-986a-2b381ec07286/ENCFF791HBV.bigBed	https://datasetencode.blob.core.windows.net/dataset/2022/01/07/5f737a63-3249-4cd3-986a-2b381ec07286/ENCFF791HBV.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	missing genetic modification reagents, mild to moderate bottlenecking		
ENCFF415MKA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR567NTZ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1664'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6939/'], '@type': ['Target', 'Item'], 'name': 'TCF15-human', 'label': 'TCF15', '@id': '/targets/TCF15-human/', 'title': 'TCF15 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'fa33e916-4768-45fa-bdc5-a1eaa1bb24c9', 'status': 'released'}				TCF15-human	DNA						2022-01-05	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF257NVZ/, /files/ENCFF470AOM/, /files/ENCFF174OKT/	64197	ENCODE Processing Pipeline	a64daf572aa7d4a59739d89b7951b32c		https://www.encodeproject.org/files/ENCFF415MKA/@@download/ENCFF415MKA.bed.gz				released	s3://encode-public/2021/12/22/16f9b0dc-bfd1-493f-a48f-3e3a0656fcf1/ENCFF415MKA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/12/22/16f9b0dc-bfd1-493f-a48f-3e3a0656fcf1/ENCFF415MKA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, inconsistent platforms		
ENCFF971IQQ	bigWig	bigWig		signal p-value	GRCh38	ENCSR567NTZ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1664'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6939/'], '@type': ['Target', 'Item'], 'name': 'TCF15-human', 'label': 'TCF15', '@id': '/targets/TCF15-human/', 'title': 'TCF15 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'fa33e916-4768-45fa-bdc5-a1eaa1bb24c9', 'status': 'released'}				TCF15-human	DNA						2022-01-05	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF257NVZ/, /files/ENCFF470AOM/, /files/ENCFF174OKT/	1461273817	ENCODE Processing Pipeline	e34c34dd250f87f8ee229edf212a894d		https://www.encodeproject.org/files/ENCFF971IQQ/@@download/ENCFF971IQQ.bigWig				released	s3://encode-public/2021/12/22/2eee8b02-417f-4ff0-b682-6e4c6d941055/ENCFF971IQQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/12/22/2eee8b02-417f-4ff0-b682-6e4c6d941055/ENCFF971IQQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, inconsistent platforms		
ENCFF099NVR	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR567NTZ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1664'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6939/'], '@type': ['Target', 'Item'], 'name': 'TCF15-human', 'label': 'TCF15', '@id': '/targets/TCF15-human/', 'title': 'TCF15 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'fa33e916-4768-45fa-bdc5-a1eaa1bb24c9', 'status': 'released'}				TCF15-human	DNA						2022-01-05	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF415MKA/	173198	ENCODE Processing Pipeline	a70aeae5a10a8696a82441968a7805bc		https://www.encodeproject.org/files/ENCFF099NVR/@@download/ENCFF099NVR.bigBed				released	s3://encode-public/2021/12/22/e797493d-51f0-475c-ab93-0575080fe87d/ENCFF099NVR.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/12/22/e797493d-51f0-475c-ab93-0575080fe87d/ENCFF099NVR.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, inconsistent platforms		
ENCFF706ROY	bigWig	bigWig		signal p-value	GRCh38	ENCSR576AMK	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5467/'], '@type': ['Target', 'Item'], 'name': 'PPARD-human', 'label': 'PPARD', '@id': '/targets/PPARD-human/', 'title': 'PPARD (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '97064146-4e18-4b77-91bc-aec1fccef1f4', 'status': 'released'}				PPARD-human	DNA						2022-01-05	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF613DUH/, /files/ENCFF528SVR/	1164864700	ENCODE Processing Pipeline	454c5c36ee69f2b42fa10f5ebf75b6f5		https://www.encodeproject.org/files/ENCFF706ROY/@@download/ENCFF706ROY.bigWig				released	s3://encode-public/2021/12/22/b3d172fa-634f-4347-ba29-095b9d1ee0a3/ENCFF706ROY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/12/22/b3d172fa-634f-4347-ba29-095b9d1ee0a3/ENCFF706ROY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, mild to moderate bottlenecking, moderate library complexity		
ENCFF893YKY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR576AMK	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5467/'], '@type': ['Target', 'Item'], 'name': 'PPARD-human', 'label': 'PPARD', '@id': '/targets/PPARD-human/', 'title': 'PPARD (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '97064146-4e18-4b77-91bc-aec1fccef1f4', 'status': 'released'}				PPARD-human	DNA						2022-01-05	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF613DUH/, /files/ENCFF356LFX/, /files/ENCFF528SVR/	14329	ENCODE Processing Pipeline	4e7dd9c9098dee51f426b9f79fc97101		https://www.encodeproject.org/files/ENCFF893YKY/@@download/ENCFF893YKY.bed.gz				released	s3://encode-public/2021/12/22/1250086c-fb39-4d5f-9e5e-e2883be9ce6c/ENCFF893YKY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/12/22/1250086c-fb39-4d5f-9e5e-e2883be9ce6c/ENCFF893YKY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, mild to moderate bottlenecking, moderate library complexity		
ENCFF383LDL	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR576AMK	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5467/'], '@type': ['Target', 'Item'], 'name': 'PPARD-human', 'label': 'PPARD', '@id': '/targets/PPARD-human/', 'title': 'PPARD (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '97064146-4e18-4b77-91bc-aec1fccef1f4', 'status': 'released'}				PPARD-human	DNA						2022-01-05	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF893YKY/	87374	ENCODE Processing Pipeline	c2ba36cc15ffef497a34be72fe9f9866		https://www.encodeproject.org/files/ENCFF383LDL/@@download/ENCFF383LDL.bigBed				released	s3://encode-public/2021/12/22/d4c1f344-9535-4b87-92cb-d69f7a807c3e/ENCFF383LDL.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/12/22/d4c1f344-9535-4b87-92cb-d69f7a807c3e/ENCFF383LDL.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	inconsistent platforms, mild to moderate bottlenecking, moderate library complexity		
ENCFF197SXI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR788DXU	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/3171/'], '@type': ['Target', 'Item'], 'name': 'FOXA3-human', 'label': 'FOXA3', '@id': '/targets/FOXA3-human/', 'title': 'FOXA3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '419a2214-ad3f-42ce-a604-d65f49f860a6', 'status': 'released'}				FOXA3-human	DNA				formaldehyde		2022-01-13	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF604PVE/, /files/ENCFF275RQB/, /files/ENCFF356LFX/, /files/ENCFF804ITG/	227558	ENCODE Processing Pipeline	9d7cadf2a30e0095778a7db5ac3dfdd2		https://www.encodeproject.org/files/ENCFF197SXI/@@download/ENCFF197SXI.bed.gz				released	s3://encode-public/2022/01/07/66097c73-315f-4f75-96b8-76e2f3178fe0/ENCFF197SXI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/01/07/66097c73-315f-4f75-96b8-76e2f3178fe0/ENCFF197SXI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	missing genetic modification reagents, mild to moderate bottlenecking		
