Assay	Index_Experiment	Index_File	File_Format	File_Type	Output_Type	Genome	Target	Bio_Replicates	Analysis	Analysis_Version	md5sum	File_Name	File_URL
TF ChIP-seq	ENCSR590FLL	ENCFF843NBV	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF347	1, 2	ENCODE4 v1.4.0 GRCh38	ENCODE4	cab83f2be2220d6d328bd6566fc54d85	ENCFF843NBV.bed.gz	https://www.encodeproject.org/files/ENCFF843NBV/@@download/ENCFF843NBV.bed.gz
TF ChIP-seq	ENCSR536CBU	ENCFF588CXX	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZBTB9	1, 2	ENCODE4 v1.4.0 GRCh38	ENCODE4	c4faaf3e805d2fcfd7c9037fdb768174	ENCFF588CXX.bed.gz	https://www.encodeproject.org/files/ENCFF588CXX/@@download/ENCFF588CXX.bed.gz
TF ChIP-seq	ENCSR436CZV	ENCFF142MJD	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	AFF4	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	c8f76e772192439a7847dbbea9f73f40	ENCFF142MJD.bed.gz	https://www.encodeproject.org/files/ENCFF142MJD/@@download/ENCFF142MJD.bed.gz
TF ChIP-seq	ENCSR628DJK	ENCFF840NZE	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZFX	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	6501d53b9952201df15a16610da5e3db	ENCFF840NZE.bed.gz	https://www.encodeproject.org/files/ENCFF840NZE/@@download/ENCFF840NZE.bed.gz
TF ChIP-seq	ENCSR924JOW	ENCFF555IKI	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	KAT7	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	86d79f9c2d1f369de2e5bea3db48176b	ENCFF555IKI.bed.gz	https://www.encodeproject.org/files/ENCFF555IKI/@@download/ENCFF555IKI.bed.gz
TF ChIP-seq	ENCSR360ECJ	ENCFF672PJF	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZNF232	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	8fb7dff26cde41f8bb48212b19ae9790	ENCFF672PJF.bed.gz	https://www.encodeproject.org/files/ENCFF672PJF/@@download/ENCFF672PJF.bed.gz
TF ChIP-seq	ENCSR672OHP	ENCFF266MUT	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	LCOR	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	15238935e3a89db82a84a759c7e3bc7d	ENCFF266MUT.bed.gz	https://www.encodeproject.org/files/ENCFF266MUT/@@download/ENCFF266MUT.bed.gz
TF ChIP-seq	ENCSR013UDY	ENCFF917HUH	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	TOE1	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	028d5e474d612dda1bb14321bd71113d	ENCFF917HUH.bed.gz	https://www.encodeproject.org/files/ENCFF917HUH/@@download/ENCFF917HUH.bed.gz
TF ChIP-seq	ENCSR201DCF	ENCFF718IGO	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZFP91	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	49f3f82c32ae50e935dd3b01e66231e0	ENCFF718IGO.bed.gz	https://www.encodeproject.org/files/ENCFF718IGO/@@download/ENCFF718IGO.bed.gz
TF ChIP-seq	ENCSR000AQF	ENCFF669MJX	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	HDAC1	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	3471fc8bdb1c689d47622c2e6effbdbe	ENCFF669MJX.bed.gz	https://www.encodeproject.org/files/ENCFF669MJX/@@download/ENCFF669MJX.bed.gz
TF ChIP-seq	ENCSR000DNZ	ENCFF206BGR	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ATF1	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	13a758619083d7b597e891eed150245a	ENCFF206BGR.bed.gz	https://www.encodeproject.org/files/ENCFF206BGR/@@download/ENCFF206BGR.bed.gz
TF ChIP-seq	ENCSR000FCD	ENCFF971YTJ	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	SMAD5	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	77c6bf28a4fb2faaff405431b149b7ef	ENCFF971YTJ.bed.gz	https://www.encodeproject.org/files/ENCFF971YTJ/@@download/ENCFF971YTJ.bed.gz
TF ChIP-seq	ENCSR000DJY	ENCFF362UGH	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	JUNB	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	24745c1227df645491fde34562c60211	ENCFF362UGH.bed.gz	https://www.encodeproject.org/files/ENCFF362UGH/@@download/ENCFF362UGH.bed.gz
TF ChIP-seq	ENCSR000AUT	ENCFF267QRI	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	SETDB1	1	ENCODE4 v1.6.1 GRCh38	ENCODE4	fda9b45d1fed8064ece471e6239b0569	ENCFF267QRI.bed.gz	https://www.encodeproject.org/files/ENCFF267QRI/@@download/ENCFF267QRI.bed.gz
TF ChIP-seq	ENCSR000AQG	ENCFF182MPT	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	HDAC2	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	be90b25733d6372e79655aa43a9bdc4d	ENCFF182MPT.bed.gz	https://www.encodeproject.org/files/ENCFF182MPT/@@download/ENCFF182MPT.bed.gz
TF ChIP-seq	ENCSR000BKF	ENCFF146GZZ	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	ZBTB33	1, 2	ENCODE4 v1.6.1 GRCh38	ENCODE4	8ac0ef9bb5256371dae70c5c42031e27	ENCFF146GZZ.bed.gz	https://www.encodeproject.org/files/ENCFF146GZZ/@@download/ENCFF146GZZ.bed.gz
TF ChIP-seq	ENCSR109SJT	ENCFF232ZHD	bed narrowPeak	bed	conservative IDR thresholded peaks	GRCh38	SMAD4	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	ea277205b068a165d5183d2fe5accdce	ENCFF232ZHD.bed.gz	https://www.encodeproject.org/files/ENCFF232ZHD/@@download/ENCFF232ZHD.bed.gz
TF ChIP-seq	ENCSR626HJW	ENCFF866ARI	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	HMG20A	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	d14be75d0067bc809d8978d1628e2c91	ENCFF866ARI.bed.gz	https://www.encodeproject.org/files/ENCFF866ARI/@@download/ENCFF866ARI.bed.gz
TF ChIP-seq	ENCSR946WBN	ENCFF865UPM	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	JUN	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	1504363b2971689d5806367e9be0f4a5	ENCFF865UPM.bed.gz	https://www.encodeproject.org/files/ENCFF865UPM/@@download/ENCFF865UPM.bed.gz
TF ChIP-seq	ENCSR077TKJ	ENCFF959ZKZ	bed narrowPeak	bed	conservative IDR thresholded peaks	GRCh38	ZNF707	1, 2	ENCODE4 v1.8.0 GRCh38	ENCODE4	bf543742dbd0eddb1b8c703584cc033e	ENCFF959ZKZ.bed.gz	https://www.encodeproject.org/files/ENCFF959ZKZ/@@download/ENCFF959ZKZ.bed.gz
TF ChIP-seq	ENCSR258PSN	ENCFF645OCW	bed narrowPeak	bed	conservative IDR thresholded peaks	GRCh38	ZNF639	1, 2	ENCODE4 v1.5.0 GRCh38	ENCODE4	31eba7488883f23341ee704265ebadf8	ENCFF645OCW.bed.gz	https://www.encodeproject.org/files/ENCFF645OCW/@@download/ENCFF645OCW.bed.gz
TF ChIP-seq	ENCSR992KLV	ENCFF749GMT	bed narrowPeak	bed	IDR thresholded peaks	GRCh38	MYNN	1, 2	ENCODE4 v1.5.0 GRCh38	ENCODE4	253107ac11b7a36df05a41da1cc2747e	ENCFF749GMT.bed.gz	https://www.encodeproject.org/files/ENCFF749GMT/@@download/ENCFF749GMT.bed.gz
