# STARR silencer cCREs							
Chr	Start	End	cCRE accession	cCRE class	CAPRA quantification	P-value	Threshold
chr13	22970420	22970595	EH38E4082602	CA	-2.7481	1.15E-09	Stringent
chr1	9356890	9357240	EH38E3954005	TF	-2.3927	8.63E-07	Stringent
chr14	92678182	92678371	EH38E4113580	TF	-2.3075	5.20E-06	Stringent
chr6	131563578	131563769	EH38E4417327	CA	-2.3047	5.71E-06	Stringent
chr9	75977404	75977605	EH38E3886686	dELS	-2.2951	6.58E-06	Stringent
chr16	26844012	26844260	EH38E4140223	CA	-2.2464	1.03E-05	Stringent
chr5	176178914	176179114	EH38E3680875	dELS	-1.7574	1.57E-05	Stringent
chr10	57094174	57094370	EH38E4009899	CA	-2.0981	1.90E-05	Stringent
chr3	45023639	45023980	EH38E4295778	dELS	-2.1206	1.98E-05	Stringent
chr6	13161327	13161492	EH38E4394807	CA	-1.8026	2.19E-05	Stringent
chr2	55085128	55085404	EH38E4215938	CA	-2.1022	3.65E-05	Stringent
chr17	52371053	52371259	EH38E4165668	CA	-2.0734	3.88E-05	Stringent
chr20	4819348	4819532	EH38E3417802	dELS	-1.9196	4.82E-05	Stringent
chrX	37803094	37803360	EH38E4517964	TF	-1.9334	5.44E-05	Stringent
chr6	50720688	50720934	EH38E4403818	CA-CTCF	-2.0508	5.64E-05	Stringent
chr6	12493537	12493761	EH38E3691362	dELS	-1.9416	5.76E-05	Stringent
chr3	125083871	125084069	EH38E4309698	dELS	-1.4894	6.66E-05	Stringent
chr7	2092400	2092566	EH38E3753615	CA-CTCF	-1.6540	7.36E-05	Stringent
chr10	95976958	95977131	EH38E4017769	TF	-2.0048	8.21E-05	Stringent
chr20	38423198	38423389	EH38E3431682	pELS	-1.9800	9.64E-05	Stringent
chr11	128805853	128806021	EH38E1581403	dELS	-1.7627	1.09E-04	Stringent
chr11	44822436	44822665	EH38E1536185	dELS	-1.9426	1.25E-04	Stringent
chr5	127404215	127404551	EH38E4380417	TF	-1.8867	1.36E-04	Stringent
