Chrom	ChromStart	ChromEnd	Region	Group
chr1	778233	779389	chr1:778233-779389	Distal:Active
chr1	958722	959968	chr1:958722-959968	Proximal:Active
chr1	960468	961615	chr1:960468-961615	Proximal:Active
chr1	1005094	1005553	chr1:1005094-1005553	Distal:Active
chr1	1013154	1014482	chr1:1013154-1014482	Proximal:Active
chr1	1059012	1060137	chr1:1059012-1060137	Distal:Active
chr1	1063762	1064534	chr1:1063762-1064534	Distal:Active
chr1	1068587	1070616	chr1:1068587-1070616	Distal:Active
chr1	1074035	1074340	chr1:1074035-1074340	Distal:Active
chr1	1079414	1080664	chr1:1079414-1080664	Distal:Repressive
chr1	1135065	1136296	chr1:1135065-1136296	Distal:Active
chr1	1200746	1201787	chr1:1200746-1201787	Distal:Active
chr1	1207896	1208483	chr1:1207896-1208483	Distal:Active
chr1	1213367	1214128	chr1:1213367-1214128	Distal:Active
chr1	1304794	1306428	chr1:1304794-1306428	Proximal:Active
chr1	1307484	1309889	chr1:1307484-1309889	Proximal:Active
chr1	1324275	1325765	chr1:1324275-1325765	Proximal:Active
chr1	1344590	1345652	chr1:1344590-1345652	Distal:Active
chr1	1357980	1359244	chr1:1357980-1359244	Proximal:Active
chr1	1374417	1375893	chr1:1374417-1375893	Proximal:Active
chr1	1398925	1400412	chr1:1398925-1400412	Proximal:Active
chr1	1406826	1408156	chr1:1406826-1408156	Proximal:Active
chr1	1470711	1473192	chr1:1470711-1473192	Proximal:Active
chr1	1511092	1512729	chr1:1511092-1512729	Proximal:Active
chr1	1573998	1575422	chr1:1573998-1575422	Proximal:Active
chr1	1647560	1648436	chr1:1647560-1648436	Distal:Active
chr1	1658648	1659623	chr1:1658648-1659623	Proximal:Active
chr1	1714800	1716009	chr1:1714800-1716009	Distal:Active
chr1	1723932	1724952	chr1:1723932-1724952	Proximal:Active
chr1	1906919	1907264	chr1:1906919-1907264	Distal:Active
chr1	1918636	1920203	chr1:1918636-1920203	Proximal:Active
chr1	1954965	1955425	chr1:1954965-1955425	Distal:Active
chr1	2003217	2004222	chr1:2003217-2004222	Distal:Active
chr1	2107820	2109082	chr1:2107820-2109082	Distal:Active
chr1	2132382	2134018	chr1:2132382-2134018	Distal:Active
chr1	2180097	2180966	chr1:2180097-2180966	Distal:Active
chr1	2198917	2199862	chr1:2198917-2199862	Distal:Active
chr1	2204424	2205838	chr1:2204424-2205838	Distal:Active
chr1	2255386	2256922	chr1:2255386-2256922	Distal:Active
chr1	2289775	2291340	chr1:2289775-2291340	Distal:Active
chr1	2314353	2315666	chr1:2314353-2315666	Distal:Repressive
chr1	2381232	2382958	chr1:2381232-2382958	Distal:Repressive
chr1	2391045	2392376	chr1:2391045-2392376	Proximal:Active
chr1	2411881	2414616	chr1:2411881-2414616	Proximal:Active
chr1	2482332	2483603	chr1:2482332-2483603	Distal:Repressive
chr1	2525679	2527117	chr1:2525679-2527117	Proximal:Active
chr1	2545890	2548483	chr1:2545890-2548483	Distal:Active
chr1	2585458	2587521	chr1:2585458-2587521	Proximal:Active
chr1	2624807	2625876	chr1:2624807-2625876	Distal:Active
chr1	2652589	2655026	chr1:2652589-2655026	Distal:Repressive
chr1	3170485	3171337	chr1:3170485-3171337	Distal:Active
chr1	3240827	3241576	chr1:3240827-3241576	Distal:Active
chr1	3312884	3313805	chr1:3312884-3313805	Distal:Active
chr1	3348728	3349936	chr1:3348728-3349936	Distal:Active
chr1	3482452	3484281	chr1:3482452-3484281	Distal:Active
chr1	3530916	3532148	chr1:3530916-3532148	Distal:Repressive
chr1	3575712	3576299	chr1:3575712-3576299	Distal:Active
chr1	3649686	3650381	chr1:3649686-3650381	Proximal:Active
chr1	3720028	3720472	chr1:3720028-3720472	Distal:Active
chr1	3746238	3747835	chr1:3746238-3747835	Proximal:Active
chr1	3795662	3797054	chr1:3795662-3797054	Proximal:Active
chr1	3822307	3823270	chr1:3822307-3823270	Distal:Active
chr1	3856623	3858303	chr1:3856623-3858303	Proximal:Active
chr1	3975783	3976495	chr1:3975783-3976495	Distal:Active
chr1	4177477	4178015	chr1:4177477-4178015	Distal:Active
chr1	4328335	4328919	chr1:4328335-4328919	Distal:Active
chr1	4702579	4702862	chr1:4702579-4702862	Distal:Active
chr1	4768633	4768990	chr1:4768633-4768990	Distal:Active
chr1	5304733	5305546	chr1:5304733-5305546	Distal:Active
chr1	5877690	5878234	chr1:5877690-5878234	Distal:Active
chr1	5885475	5886502	chr1:5885475-5886502	Distal:Active
chr1	5917218	5918192	chr1:5917218-5918192	Distal:Active
chr1	5991764	5993163	chr1:5991764-5993163	Proximal:Active
chr1	6006798	6008089	chr1:6006798-6008089	Distal:Active
chr1	6025320	6027415	chr1:6025320-6027415	Distal:Active
chr1	6045104	6045828	chr1:6045104-6045828	Distal:Active
chr1	6075901	6076351	chr1:6075901-6076351	Distal:Active
chr1	6105487	6106668	chr1:6105487-6106668	Distal:Active
chr1	6127515	6128594	chr1:6127515-6128594	Distal:Active
chr1	6199010	6200291	chr1:6199010-6200291	Proximal:Active
chr1	6319697	6319970	chr1:6319697-6319970	Distal:Active
chr1	6553721	6555462	chr1:6553721-6555462	Proximal:Active
chr1	6600854	6604169	chr1:6600854-6604169	Proximal:Active
chr1	6624609	6625976	chr1:6624609-6625976	Proximal:Active
chr1	6648490	6649143	chr1:6648490-6649143	Distal:Repressive
chr1	6700962	6702422	chr1:6700962-6702422	Proximal:Active
chr1	6724011	6724349	chr1:6724011-6724349	Distal:Active
chr1	6911176	6911506	chr1:6911176-6911506	Distal:Active
chr1	6912094	6913506	chr1:6912094-6913506	Distal:Active
chr1	7117469	7117987	chr1:7117469-7117987	Distal:Active
chr1	7372063	7372986	chr1:7372063-7372986	Distal:Active
chr1	7585936	7586848	chr1:7585936-7586848	Distal:Active
chr1	7608243	7609460	chr1:7608243-7609460	Distal:Active
chr1	7810448	7810682	chr1:7810448-7810682	Distal:Active
chr1	7827101	7828038	chr1:7827101-7828038	Distal:Active
chr1	7953805	7954606	chr1:7953805-7954606	Distal:Active
chr1	7961018	7962167	chr1:7961018-7962167	Proximal:Active
chr1	8025729	8026874	chr1:8025729-8026874	Proximal:Active
chr1	8061328	8062568	chr1:8061328-8062568	Distal:Active
chr1	8121840	8123151	chr1:8121840-8123151	Distal:Active
chr1	8153257	8153833	chr1:8153257-8153833	Distal:Active
chr1	8211913	8212370	chr1:8211913-8212370	Distal:Active
chr1	8388619	8389645	chr1:8388619-8389645	Distal:Active
chr1	8525355	8526520	chr1:8525355-8526520	Distal:Active
chr1	8789343	8789802	chr1:8789343-8789802	Distal:Active
chr1	8873684	8874025	chr1:8873684-8874025	Distal:Active
chr1	8877924	8879490	chr1:8877924-8879490	Proximal:Active
chr1	8899651	8900948	chr1:8899651-8900948	Distal:Active
chr1	9144845	9145519	chr1:9144845-9145519	Distal:Active
chr1	9382836	9383330	chr1:9382836-9383330	Distal:Active
chr1	9428534	9429502	chr1:9428534-9429502	Distal:Active
chr1	9444108	9444839	chr1:9444108-9444839	Distal:Active
chr1	9588288	9589758	chr1:9588288-9589758	Proximal:Repressive
chr1	9593239	9594212	chr1:9593239-9594212	Distal:Active
chr1	9651695	9652556	chr1:9651695-9652556	Distal:Repressive
chr1	9657355	9658340	chr1:9657355-9658340	Distal:Active
chr1	9687164	9688176	chr1:9687164-9688176	Proximal:Active
chr1	9717039	9718221	chr1:9717039-9718221	Distal:Active
chr1	9718626	9719632	chr1:9718626-9719632	Distal:Active
chr1	9774530	9775855	chr1:9774530-9775855	Distal:Active
chr1	9929048	9930176	chr1:9929048-9930176	Distal:Active
chr1	9942478	9944017	chr1:9942478-9944017	Proximal:Active
chr1	9950212	9950921	chr1:9950212-9950921	Distal:Active
chr1	10032429	10033763	chr1:10032429-10033763	Proximal:Active
chr1	10414948	10415714	chr1:10414948-10415714	Distal:Active
chr1	10474552	10475672	chr1:10474552-10475672	Proximal:Active
chr1	10546828	10547406	chr1:10546828-10547406	Distal:Repressive
chr1	10555802	10556945	chr1:10555802-10556945	Distal:Active
chr1	10638212	10638532	chr1:10638212-10638532	Distal:Active
chr1	10835689	10836526	chr1:10835689-10836526	Distal:Active
chr1	10939923	10940553	chr1:10939923-10940553	Distal:Active
chr1	11011826	11013345	chr1:11011826-11013345	Proximal:Active
chr1	11098995	11100364	chr1:11098995-11100364	Proximal:Active
chr1	11272669	11274093	chr1:11272669-11274093	Proximal:Active
chr1	11394690	11395849	chr1:11394690-11395849	Distal:Active
chr1	11448073	11448607	chr1:11448073-11448607	Distal:Active
chr1	11478579	11480338	chr1:11478579-11480338	Distal:Repressive
chr1	11670910	11672248	chr1:11670910-11672248	Distal:Active
chr1	11680398	11681882	chr1:11680398-11681882	Proximal:Active
chr1	11735634	11737577	chr1:11735634-11737577	Proximal:Active
chr1	11790639	11791354	chr1:11790639-11791354	Distal:Active
chr1	11797582	11798882	chr1:11797582-11798882	Distal:Active
chr1	11805028	11806712	chr1:11805028-11806712	Proximal:Active
