Chrom	Start	End	TSS	Gene	CMD
chr11	4091884	6419310	5269945	HBE1	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.HBE1.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr11 --x1 4091884 --y1 6419310 --x2 5266945 --y2 5272945 --verbose
chr11	4091884	6419310	5249857	HBG1	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.HBG1.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr11 --x1 4091884 --y1 6419310 --x2 5246857 --y2 5252857 --verbose
chr11	4091884	6419310	5254781	HBG2	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.HBG2.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr11 --x1 4091884 --y1 6419310 --x2 5251781 --y2 5257781 --verbose
chr11	33064196	34664117	34051730	CAPRIN1	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.CAPRIN1.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr11 --x1 33064196 --y1 34664117 --x2 34048730 --y2 34054730 --verbose
chr11	33064196	34664117	34438933	CAT	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.CAT.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr11 --x1 33064196 --y1 34664117 --x2 34435933 --y2 34441933 --verbose
chr11	33064196	34664117	33869878	LMO2	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.LMO2.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr11 --x1 33064196 --y1 34664117 --x2 33866878 --y2 33872878 --verbose
chr11	61788524	61897153	61817003	FADS1	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.FADS1.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr11 --x1 61788524 --y1 61897153 --x2 61814003 --y2 61820003 --verbose
chr11	61788524	61897153	61816202	FADS2	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.FADS2.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr11 --x1 61788524 --y1 61897153 --x2 61813202 --y2 61819202 --verbose
chr11	61788524	61897153	61891545	FADS3	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.FADS3.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr11 --x1 61788524 --y1 61897153 --x2 61888545 --y2 61894545 --verbose
chr11	61788524	61897153	61792910	FEN1	python /data/reddylab/Kuei/code/Proj_CombEffect_ENCODE_FCC/notebooks/42_hic_coverage/gen_virtual4c_track.py --fpath_hic /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/source/hic_intact_K562_ENCSR479XDG/ENCFF621AIY.hic --fpath_out /data/reddylab/Kuei/out/proj_combeffect_encode_fcc/results/hic_intact_K562_ENCSR479XDG/coverage_virtual4c_track_crispri_hcrff/virtual4C.K562.ENCFF621AIY.FEN1.TSS.3K.bg --normalization SCALE --resolution 100 --chrom chr11 --x1 61788524 --y1 61897153 --x2 61789910 --y2 61795910 --verbose
