Chrom	ChromStart	ChromEnd	Region	Group	Label	Zcore	Assay_Label
chr11	4092109	4092511	chr11:4092109-4092511	Distal:Active	Screen:NotSignif	-0.129436403125	CRISPRi-HCRFF
chr11	4094223	4095304	chr11:4094223-4095304	Proximal:Active	Screen:NotSignif	-0.04849565242718447	CRISPRi-HCRFF
chr11	4393045	4394087	chr11:4393045-4394087	Proximal:Active	Screen:NotSignif	-0.08214895952380953	CRISPRi-HCRFF
chr11	4492759	4493676	chr11:4492759-4493676	Distal:Active	Screen:NotSignif	-0.12342412765957449	CRISPRi-HCRFF
chr11	4607720	4608631	chr11:4607720-4608631	Proximal:Active	Screen:NotSignif	-0.07925128470588236	CRISPRi-HCRFF
chr11	4658501	4659553	chr11:4658501-4659553	Distal:Active	Screen:NotSignif	-0.04955552771084338	CRISPRi-HCRFF
chr11	4891786	4892668	chr11:4891786-4892668	Distal:Active	Screen:NotSignif	-0.18469532727272728	CRISPRi-HCRFF
chr11	5087149	5087716	chr11:5087149-5087716	Distal:Active	Screen:NotSignif	-0.10406727586206896	CRISPRi-HCRFF
chr11	5129084	5129882	chr11:5129084-5129882	Distal:Active	Screen:NotSignif	-0.01897118904109588	CRISPRi-HCRFF
chr11	5160106	5161376	chr11:5160106-5161376	Distal:Active	Screen:NotSignif	-0.00563982325581395	CRISPRi-HCRFF
chr11	5234016	5234861	chr11:5234016-5234861	Proximal:Active	Screen:NotSignif	0.01054180845070422	CRISPRi-HCRFF
chr11	5242903	5244946	chr11:5242903-5244946	Proximal:Active	Screen:NotSignif	0.00782317142857142	CRISPRi-HCRFF
chr11	5249957	5250351	chr11:5249957-5250351	Proximal:Active	Screen:Signif	0.5391106857142857	CRISPRi-HCRFF
chr11	5258313	5259274	chr11:5258313-5259274	Distal:Active	Screen:NotSignif	-0.00128626524822695	CRISPRi-HCRFF
chr11	5275455	5276164	chr11:5275455-5276164	Distal:Active	Screen:Signif	0.6045769676470588	CRISPRi-HCRFF
chr11	5280584	5281266	chr11:5280584-5281266	Distal:Active	Screen:Signif	2.157914347540983	CRISPRi-HCRFF
chr11	5287810	5288582	chr11:5287810-5288582	Distal:Active	Screen:Signif	0.892479388372093	CRISPRi-HCRFF
chr11	5335010	5335992	chr11:5335010-5335992	Distal:Active	Screen:NotSignif	-0.02936028372093023	CRISPRi-HCRFF
chr11	5483998	5484670	chr11:5483998-5484670	Distal:Repressive	Screen:NotSignif	0.006516944	CRISPRi-HCRFF
chr11	5505324	5506092	chr11:5505324-5506092	Proximal:Active	Screen:Signif	-0.12943748333333335	CRISPRi-HCRFF
chr11	5564220	5564461	chr11:5564220-5564461	Distal:Active	Screen:NotSignif	-0.12746499130434782	CRISPRi-HCRFF
chr11	5591612	5591973	chr11:5591612-5591973	Distal:Active	Screen:NotSignif	-0.1674907393939394	CRISPRi-HCRFF
chr11	5595897	5597213	chr11:5595897-5597213	Proximal:Active	Screen:NotSignif	-0.1317535700680272	CRISPRi-HCRFF
chr11	5600384	5600808	chr11:5600384-5600808	Distal:Active	Screen:NotSignif	-0.05561122909090909	CRISPRi-HCRFF
chr11	5624558	5625444	chr11:5624558-5625444	Proximal:Active	Screen:NotSignif	-0.05073208285714286	CRISPRi-HCRFF
chr11	5684481	5685425	chr11:5684481-5685425	Proximal:Active	Screen:NotSignif	-0.08877967154471544	CRISPRi-HCRFF
chr11	5809910	5810855	chr11:5809910-5810855	Distal:Active	Screen:NotSignif	-0.05457529620253164	CRISPRi-HCRFF
chr11	5922782	5923994	chr11:5922782-5923994	Distal:Active	Screen:NotSignif	-0.1669020243902439	CRISPRi-HCRFF
chr11	6234355	6235569	chr11:6234355-6235569	Proximal:Active	Screen:NotSignif	-0.06460425057471264	CRISPRi-HCRFF
chr11	6315741	6316348	chr11:6315741-6316348	Distal:Active	Screen:NotSignif	-0.11460900851063832	CRISPRi-HCRFF
chr11	6357138	6357587	chr11:6357138-6357587	Distal:Active	Screen:NotSignif	-0.00562568095238095	CRISPRi-HCRFF
chr11	6389744	6390868	chr11:6389744-6390868	Proximal:Active	Screen:NotSignif	-0.0868341037037037	CRISPRi-HCRFF
chr11	6401979	6403228	chr11:6401979-6403228	Distal:Active	Screen:NotSignif	-0.02456068936170212	CRISPRi-HCRFF
chr11	6418724	6419767	chr11:6418724-6419767	Proximal:Active	Screen:NotSignif	-0.03535033170731707	CRISPRi-HCRFF
chr11	33161103	33161985	chr11:33161103-33161985	Proximal:Active	Screen:NotSignif	-0.00126759555555554	CRISPRi-HCRFF
chr11	33179276	33179765	chr11:33179276-33179765	Distal:Active	Screen:NotSignif	-0.21038308333333333	CRISPRi-HCRFF
chr11	33207226	33208105	chr11:33207226-33208105	Distal:Active	Screen:NotSignif	0.10733455038759691	CRISPRi-HCRFF
chr11	33342835	33343488	chr11:33342835-33343488	Distal:Active	Screen:NotSignif	-0.01799456862745097	CRISPRi-HCRFF
chr11	33665772	33666367	chr11:33665772-33666367	Distal:Active	Screen:NotSignif	-0.05377451282051282	CRISPRi-HCRFF
chr11	33690512	33691125	chr11:33690512-33691125	Distal:Active	Screen:NotSignif	0.04501666666666666	CRISPRi-HCRFF
chr11	33700219	33701272	chr11:33700219-33701272	Proximal:Active	Screen:NotSignif	0.02554975338753387	CRISPRi-HCRFF
chr11	33722415	33724658	chr11:33722415-33724658	Distal:Active	Screen:NotSignif	-9.859611872146089e-4	CRISPRi-HCRFF
chr11	33735880	33737967	chr11:33735880-33737967	Proximal:Active	Screen:NotSignif	-0.05110481005586592	CRISPRi-HCRFF
chr11	33773576	33775050	chr11:33773576-33775050	Proximal:Active	Screen:NotSignif	-0.08335334848484849	CRISPRi-HCRFF
chr11	33835258	33835707	chr11:33835258-33835707	Distal:Active	Screen:NotSignif	0.15964764583333332	CRISPRi-HCRFF
chr11	33868742	33871363	chr11:33868742-33871363	Proximal:Active	Screen:Signif	0.30665712724757954	CRISPRi-HCRFF
chr11	33881913	33882345	chr11:33881913-33882345	Distal:Repressive	Screen:Signif	0.7654807638888889	CRISPRi-HCRFF
chr11	33891272	33893572	chr11:33891272-33893572	Distal:Active	Screen:NotSignif	0.02202671983640081	CRISPRi-HCRFF
chr11	33912262	33913138	chr11:33912262-33913138	Distal:Active	Screen:NotSignif	0.13322478260869564	CRISPRi-HCRFF
chr11	33936819	33937819	chr11:33936819-33937819	Distal:Active	Screen:Signif	0.3576376176470588	CRISPRi-HCRFF
chr11	33941507	33942212	chr11:33941507-33942212	Distal:Active	Screen:Signif	1.113216007751938	CRISPRi-HCRFF
chr11	33944532	33945260	chr11:33944532-33945260	Distal:Active	Screen:Signif	1.835169976744186	CRISPRi-HCRFF
chr11	34037079	34037667	chr11:34037079-34037667	Distal:Active	Screen:NotSignif	-0.1268858717948718	CRISPRi-HCRFF
chr11	34044522	34045696	chr11:34044522-34045696	Distal:Active	Screen:NotSignif	0.0848539423076923	CRISPRi-HCRFF
chr11	34051156	34053563	chr11:34051156-34053563	Proximal:Active	Screen:Signif	0.4506011468531469	CRISPRi-HCRFF
chr11	34104955	34106361	chr11:34104955-34106361	Proximal:Active	Screen:NotSignif	0.01703560353535353	CRISPRi-HCRFF
chr11	34158378	34159137	chr11:34158378-34159137	Distal:Active	Screen:NotSignif	-0.06769484397163121	CRISPRi-HCRFF
chr11	34191445	34192012	chr11:34191445-34192012	Distal:Active	Screen:NotSignif	-0.03455917424242424	CRISPRi-HCRFF
chr11	34208524	34209221	chr11:34208524-34209221	Distal:Active	Screen:NotSignif	0.15219775	CRISPRi-HCRFF
chr11	34234056	34234496	chr11:34234056-34234496	Distal:Active	Screen:NotSignif	-0.02945387654320987	CRISPRi-HCRFF
chr11	34241957	34243487	chr11:34241957-34243487	Distal:Active	Screen:NotSignif	-0.07638422112211221	CRISPRi-HCRFF
chr11	34270574	34270947	chr11:34270574-34270947	Distal:Active	Screen:NotSignif	-0.27102867857142854	CRISPRi-HCRFF
chr11	34357268	34359544	chr11:34357268-34359544	Proximal:Active	Screen:NotSignif	0.00810074656679151	CRISPRi-HCRFF
chr11	34371379	34372342	chr11:34371379-34372342	Distal:Active	Screen:NotSignif	0.1630247866666667	CRISPRi-HCRFF
chr11	34438325	34439409	chr11:34438325-34439409	Proximal:Active	Screen:Signif	1.1251293333333334	CRISPRi-HCRFF
chr11	34496066	34496652	chr11:34496066-34496652	Distal:Active	Screen:NotSignif	-0.03183091071428572	CRISPRi-HCRFF
chr11	34599606	34601148	chr11:34599606-34601148	Distal:Active	Screen:NotSignif	0.02740839666666666	CRISPRi-HCRFF
chr11	34603298	34604199	chr11:34603298-34604199	Distal:Active	Screen:NotSignif	-0.06363173611111111	CRISPRi-HCRFF
chr11	34654043	34654467	chr11:34654043-34654467	Distal:Active	Screen:NotSignif	-0.14877875925925926	CRISPRi-HCRFF
chr11	61792073	61793400	chr11:61792073-61793400	Proximal:Active	Screen:Signif	0.04144091878980895	CRISPRi-HCRFF
