# REST + cCREs					
Chr	Start	End	cCRE accession	cCRE class	Silencer class
chr10	100680786	100681128	EH38E4018829	CA-H3K4me3	REST+ silencer
chr10	101081011	101081271	EH38E4018984	CA-TF	REST+ silencer
chr10	102361781	102362038	EH38E4019348	CA-CTCF	REST+ silencer
chr10	103265839	103266036	EH38E1495742	CA-CTCF	REST+ silencer
chr10	104548071	104548416	EH38E4019821	CA-TF	REST+ silencer
chr10	104750418	104750581	EH38E4019865	CA-TF	REST+ silencer
chr10	104824451	104824786	EH38E4019880	CA-TF	REST+ silencer
chr10	108970069	108970347	EH38E4020685	CA-TF	REST+ silencer
chr10	109723424	109723695	EH38E4020818	CA-TF	REST+ silencer
chr10	109821746	109822051	EH38E4020832	CA-TF	REST+ silencer
chr10	111231890	111232061	EH38E4021130	TF	REST+ silencer
chr10	111233494	111233766	EH38E4021131	CA-TF	REST+ silencer
chr10	111511756	111512101	EH38E2925055	CA-CTCF	REST+ silencer
chr10	111739324	111739535	EH38E1499669	CA-CTCF	REST+ silencer
chr10	112467575	112467920	EH38E2925351	CA-H3K4me3	REST+ silencer
chr10	113576904	113577166	EH38E4021682	CA-TF	REST+ silencer
chr10	113716530	113716875	EH38E4021705	CA-TF	REST+ silencer
chr10	1147861	1148164	EH38E3999524	CA-CTCF	REST+ silencer
chr10	117032536	117032745	EH38E4022301	TF	REST+ silencer
chr10	117254354	117254704	EH38E4022353	TF	REST+ silencer
chr10	118475345	118475513	EH38E4022696	TF	REST+ silencer
chr10	118594448	118594798	EH38E1503768	CA-H3K4me3	REST+ silencer
chr10	120131174	120131491	EH38E4023115	CA-TF	REST+ silencer
chr10	120514072	120514390	EH38E4023198	CA-H3K4me3	REST+ silencer
chr10	120689051	120689252	EH38E4023235	CA-CTCF	REST+ silencer
chr10	122727498	122727833	EH38E4023657	CA-TF	REST+ silencer
chr10	122786290	122786639	EH38E2930244	CA-CTCF	REST+ silencer
