Chrom	ChromStart	ChromEnd	Region	Num_Assay	Assays
chr1	605104	605675	chr1:605104-605675	2	ASTARR,CRISPRi-Growth
chr1	778233	779389	chr1:778233-779389	3	ASTARR,LMPRA,WSTARR
chr1	818708	819335	chr1:818708-819335	2	ASTARR,WSTARR
chr1	826796	828040	chr1:826796-828040	3	ASTARR,WSTARR,CRISPRi-Growth
chr1	842516	843431	chr1:842516-843431	2	ASTARR,LMPRA
chr1	903783	905204	chr1:903783-905204	2	ASTARR,LMPRA
chr1	912735	913419	chr1:912735-913419	2	ASTARR,WSTARR
chr1	935793	936234	chr1:935793-936234	2	ASTARR,WSTARR
chr1	940329	943443	chr1:940329-943443	2	ASTARR,WSTARR
chr1	958722	959968	chr1:958722-959968	3	ASTARR,LMPRA,WSTARR
chr1	960468	961615	chr1:960468-961615	3	ASTARR,LMPRA,WSTARR
chr1	965947	967319	chr1:965947-967319	2	ASTARR,LMPRA
chr1	975975	976656	chr1:975975-976656	2	ASTARR,WSTARR
chr1	998960	1001192	chr1:998960-1001192	2	ASTARR,WSTARR
chr1	1005094	1005553	chr1:1005094-1005553	2	ASTARR,WSTARR
chr1	1013154	1014482	chr1:1013154-1014482	3	ASTARR,LMPRA,WSTARR
chr1	1019190	1021734	chr1:1019190-1021734	2	ASTARR,WSTARR
chr1	1032702	1033526	chr1:1032702-1033526	2	ASTARR,WSTARR
chr1	1040162	1041454	chr1:1040162-1041454	2	ASTARR,LMPRA
chr1	1059012	1060137	chr1:1059012-1060137	3	ASTARR,LMPRA,WSTARR
chr1	1063762	1064534	chr1:1063762-1064534	2	ASTARR,WSTARR
chr1	1068587	1070616	chr1:1068587-1070616	4	ASTARR,LMPRA,WSTARR,CRISPRi-Growth
chr1	1074035	1074340	chr1:1074035-1074340	3	ASTARR,LMPRA,WSTARR
chr1	1079414	1080664	chr1:1079414-1080664	2	ASTARR,LMPRA
chr1	1115826	1116970	chr1:1115826-1116970	2	ASTARR,WSTARR
chr1	1127573	1128245	chr1:1127573-1128245	2	ASTARR,WSTARR
chr1	1135065	1136296	chr1:1135065-1136296	3	ASTARR,LMPRA,WSTARR
chr1	1136909	1138088	chr1:1136909-1138088	2	ASTARR,WSTARR
chr1	1144304	1144865	chr1:1144304-1144865	2	ASTARR,WSTARR
chr1	1157012	1158431	chr1:1157012-1158431	2	ASTARR,WSTARR
chr1	1198964	1199745	chr1:1198964-1199745	2	ASTARR,WSTARR
chr1	1200746	1201787	chr1:1200746-1201787	3	ASTARR,LMPRA,WSTARR
chr1	1203657	1204181	chr1:1203657-1204181	2	ASTARR,WSTARR
chr1	1207896	1208483	chr1:1207896-1208483	2	ASTARR,WSTARR
chr1	1213367	1214128	chr1:1213367-1214128	3	ASTARR,LMPRA,WSTARR
chr1	1231026	1232697	chr1:1231026-1232697	2	ASTARR,WSTARR
chr1	1237213	1240257	chr1:1237213-1240257	2	ASTARR,WSTARR
chr1	1243970	1244652	chr1:1243970-1244652	2	ASTARR,WSTARR
chr1	1273007	1274875	chr1:1273007-1274875	2	ASTARR,WSTARR
chr1	1293374	1294441	chr1:1293374-1294441	2	ASTARR,WSTARR
chr1	1298927	1300569	chr1:1298927-1300569	2	ASTARR,CRISPRi-Growth
chr1	1304794	1306428	chr1:1304794-1306428	2	ASTARR,WSTARR
chr1	1307484	1309889	chr1:1307484-1309889	3	ASTARR,LMPRA,WSTARR
chr1	1324275	1325765	chr1:1324275-1325765	4	ASTARR,LMPRA,WSTARR,CRISPRi-Growth
chr1	1337516	1338174	chr1:1337516-1338174	2	ASTARR,WSTARR
chr1	1344590	1345652	chr1:1344590-1345652	2	ASTARR,WSTARR
chr1	1347633	1349961	chr1:1347633-1349961	2	ASTARR,WSTARR
chr1	1357980	1359244	chr1:1357980-1359244	3	ASTARR,LMPRA,WSTARR
chr1	1374417	1375893	chr1:1374417-1375893	2	ASTARR,WSTARR
chr1	1398925	1400412	chr1:1398925-1400412	3	ASTARR,LMPRA,WSTARR
chr1	1406826	1408156	chr1:1406826-1408156	3	ASTARR,LMPRA,WSTARR
chr1	1426579	1427005	chr1:1426579-1427005	2	ASTARR,WSTARR
chr1	1433071	1434080	chr1:1433071-1434080	2	ASTARR,WSTARR
chr1	1461696	1463154	chr1:1461696-1463154	2	ASTARR,WSTARR
chr1	1470711	1473192	chr1:1470711-1473192	3	ASTARR,LMPRA,WSTARR
chr1	1511092	1512729	chr1:1511092-1512729	3	ASTARR,LMPRA,WSTARR
chr1	1561159	1562809	chr1:1561159-1562809	2	ASTARR,WSTARR
chr1	1573998	1575422	chr1:1573998-1575422	3	ASTARR,WSTARR,CRISPRi-Growth
chr1	1614176	1616391	chr1:1614176-1616391	2	ASTARR,WSTARR
chr1	1627128	1629232	chr1:1627128-1629232	2	ASTARR,WSTARR
chr1	1647560	1648436	chr1:1647560-1648436	3	ASTARR,LMPRA,WSTARR
chr1	1658648	1659623	chr1:1658648-1659623	2	ASTARR,WSTARR
chr1	1664922	1666091	chr1:1664922-1666091	2	ASTARR,WSTARR
chr1	1692326	1693477	chr1:1692326-1693477	2	ASTARR,WSTARR
chr1	1714800	1716009	chr1:1714800-1716009	3	ASTARR,LMPRA,WSTARR
chr1	1723932	1724952	chr1:1723932-1724952	3	ASTARR,LMPRA,WSTARR
chr1	1745715	1746769	chr1:1745715-1746769	2	ASTARR,WSTARR
chr1	1753008	1754266	chr1:1753008-1754266	2	ASTARR,WSTARR
chr1	1777904	1779531	chr1:1777904-1779531	2	ASTARR,WSTARR
chr1	1846527	1847684	chr1:1846527-1847684	2	ASTARR,LMPRA
chr1	1858474	1859461	chr1:1858474-1859461	2	ASTARR,LMPRA
chr1	1889925	1892005	chr1:1889925-1892005	2	ASTARR,WSTARR
chr1	1906919	1907264	chr1:1906919-1907264	2	ASTARR,WSTARR
chr1	1908436	1909792	chr1:1908436-1909792	2	ASTARR,WSTARR
chr1	1918636	1920203	chr1:1918636-1920203	3	ASTARR,LMPRA,WSTARR
chr1	1954965	1955425	chr1:1954965-1955425	2	ASTARR,WSTARR
chr1	1959724	1960568	chr1:1959724-1960568	2	ASTARR,WSTARR
chr1	1974070	1975084	chr1:1974070-1975084	2	ASTARR,CRISPRi-Growth
chr1	2003217	2004222	chr1:2003217-2004222	3	ASTARR,LMPRA,WSTARR
chr1	2029795	2030562	chr1:2029795-2030562	2	ASTARR,WSTARR
chr1	2043090	2043740	chr1:2043090-2043740	2	ASTARR,CRISPRi-Growth
chr1	2053227	2053687	chr1:2053227-2053687	2	ASTARR,WSTARR
chr1	2059598	2060346	chr1:2059598-2060346	2	ASTARR,WSTARR
chr1	2068727	2069136	chr1:2068727-2069136	2	ASTARR,WSTARR
chr1	2073033	2074074	chr1:2073033-2074074	2	ASTARR,WSTARR
chr1	2107820	2109082	chr1:2107820-2109082	3	ASTARR,LMPRA,WSTARR
chr1	2132382	2134018	chr1:2132382-2134018	3	ASTARR,LMPRA,WSTARR
chr1	2180097	2180966	chr1:2180097-2180966	3	ASTARR,LMPRA,WSTARR
chr1	2198917	2199862	chr1:2198917-2199862	2	LMPRA,WSTARR
chr1	2204424	2205838	chr1:2204424-2205838	3	ASTARR,LMPRA,WSTARR
chr1	2227243	2228059	chr1:2227243-2228059	2	ASTARR,WSTARR
chr1	2255386	2256922	chr1:2255386-2256922	3	ASTARR,LMPRA,WSTARR
chr1	2289775	2291340	chr1:2289775-2291340	2	ASTARR,WSTARR
chr1	2299838	2301001	chr1:2299838-2301001	2	ASTARR,WSTARR
chr1	2314353	2315666	chr1:2314353-2315666	3	ASTARR,LMPRA,WSTARR
chr1	2322382	2323601	chr1:2322382-2323601	2	ASTARR,WSTARR
chr1	2343274	2343895	chr1:2343274-2343895	2	ASTARR,WSTARR
chr1	2344580	2346077	chr1:2344580-2346077	2	ASTARR,LMPRA
chr1	2381232	2382958	chr1:2381232-2382958	2	ASTARR,WSTARR
chr1	2391045	2392376	chr1:2391045-2392376	4	ASTARR,LMPRA,WSTARR,CRISPRi-Growth
chr1	2411881	2414616	chr1:2411881-2414616	3	ASTARR,LMPRA,WSTARR
chr1	2425907	2426882	chr1:2425907-2426882	2	ASTARR,CRISPRi-Growth
chr1	2429866	2430545	chr1:2429866-2430545	2	ASTARR,WSTARR
chr1	2446371	2448471	chr1:2446371-2448471	2	ASTARR,WSTARR
chr1	2459834	2460318	chr1:2459834-2460318	2	ASTARR,CRISPRi-Growth
chr1	2466997	2468562	chr1:2466997-2468562	2	ASTARR,WSTARR
chr1	2473515	2474050	chr1:2473515-2474050	2	ASTARR,WSTARR
chr1	2482332	2483603	chr1:2482332-2483603	3	ASTARR,LMPRA,WSTARR
chr1	2495064	2495858	chr1:2495064-2495858	2	ASTARR,WSTARR
chr1	2504667	2507973	chr1:2504667-2507973	2	ASTARR,WSTARR
chr1	2512967	2513725	chr1:2512967-2513725	2	ASTARR,WSTARR
chr1	2525679	2527117	chr1:2525679-2527117	2	LMPRA,WSTARR
chr1	2545890	2548483	chr1:2545890-2548483	3	ASTARR,LMPRA,WSTARR
chr1	2555672	2557797	chr1:2555672-2557797	2	ASTARR,WSTARR
chr1	2560008	2561177	chr1:2560008-2561177	2	ASTARR,WSTARR
chr1	2577992	2578694	chr1:2577992-2578694	2	WSTARR,CRISPRi-Growth
chr1	2585458	2587521	chr1:2585458-2587521	3	ASTARR,LMPRA,WSTARR
chr1	2602958	2603563	chr1:2602958-2603563	2	ASTARR,WSTARR
chr1	2624807	2625876	chr1:2624807-2625876	3	ASTARR,LMPRA,WSTARR
chr1	2632847	2634257	chr1:2632847-2634257	2	ASTARR,WSTARR
chr1	2642440	2643575	chr1:2642440-2643575	4	ASTARR,LMPRA,WSTARR,CRISPRi-Growth
chr1	2652589	2655026	chr1:2652589-2655026	2	ASTARR,WSTARR
chr1	2801325	2802251	chr1:2801325-2802251	2	ASTARR,LMPRA
chr1	2821426	2822663	chr1:2821426-2822663	2	ASTARR,WSTARR
chr1	2847199	2848618	chr1:2847199-2848618	2	ASTARR,WSTARR
chr1	2973777	2974411	chr1:2973777-2974411	2	ASTARR,CRISPRi-Growth
chr1	3012415	3013249	chr1:3012415-3013249	2	ASTARR,WSTARR
chr1	3017446	3017716	chr1:3017446-3017716	2	ASTARR,WSTARR
chr1	3135005	3136372	chr1:3135005-3136372	2	ASTARR,WSTARR
chr1	3170485	3171337	chr1:3170485-3171337	2	ASTARR,WSTARR
chr1	3186490	3188330	chr1:3186490-3188330	2	ASTARR,WSTARR
chr1	3211491	3212492	chr1:3211491-3212492	2	ASTARR,WSTARR
chr1	3240827	3241576	chr1:3240827-3241576	2	ASTARR,WSTARR
chr1	3312884	3313805	chr1:3312884-3313805	2	ASTARR,WSTARR
chr1	3319551	3320953	chr1:3319551-3320953	2	ASTARR,LMPRA
chr1	3348728	3349936	chr1:3348728-3349936	3	ASTARR,LMPRA,WSTARR
chr1	3356345	3357190	chr1:3356345-3357190	3	ASTARR,WSTARR,CRISPRi-Growth
chr1	3452927	3455052	chr1:3452927-3455052	2	ASTARR,WSTARR
chr1	3477868	3478675	chr1:3477868-3478675	2	ASTARR,WSTARR
chr1	3482452	3484281	chr1:3482452-3484281	3	ASTARR,LMPRA,WSTARR
chr1	3524750	3525764	chr1:3524750-3525764	2	ASTARR,WSTARR
chr1	3530916	3532148	chr1:3530916-3532148	2	ASTARR,WSTARR
chr1	3553423	3554087	chr1:3553423-3554087	2	ASTARR,CRISPRi-Growth
