Chrom	ChromStart	ChromEnd	Region	UMAP1	UMAP2
chr1	100036895	100039189	chr1:100036895-100039189	7.9143424	5.290927
chr1	100132375	100133491	chr1:100132375-100133491	9.109111	5.8250628
chr1	100248956	100250290	chr1:100248956-100250290	7.1820617	6.236031
chr1	100265562	100266994	chr1:100265562-100266994	7.7613206	5.70624
chr1	10032429	10033763	chr1:10032429-10033763	9.426987	4.8598995
chr1	100351018	100353268	chr1:100351018-100353268	7.9740176	5.1284013
chr1	100362769	100363401	chr1:100362769-100363401	6.07116	6.9788036
chr1	100400445	100400762	chr1:100400445-100400762	2.2108514	7.6704
chr1	1005094	1005553	chr1:1005094-1005553	4.6820703	7.8072295
chr1	100637639	100638211	chr1:100637639-100638211	-2.4647987	3.934353
chr1	100810387	100811206	chr1:100810387-100811206	1.2155815	7.177588
chr1	100894637	100896932	chr1:100894637-100896932	8.680553	6.0426393
chr1	101025319	101026551	chr1:101025319-101026551	8.002665	5.902315
chr1	101198803	101199513	chr1:101198803-101199513	1.1485242	7.382196
chr1	101245411	101246756	chr1:101245411-101246756	-0.48121193	5.8386483
chr1	101283354	101284286	chr1:101283354-101284286	2.4972453	9.872019
chr1	1013154	1014482	chr1:1013154-1014482	6.5517344	5.1279254
chr1	1019190	1021734	chr1:1019190-1021734	6.4935174	4.2088075
chr1	102659383	102661035	chr1:102659383-102661035	-1.7519846	5.20514
chr1	102853736	102854192	chr1:102853736-102854192	-2.315977	3.3313985
chr1	1032702	1033526	chr1:1032702-1033526	6.1890354	4.358806
chr1	103525008	103526469	chr1:103525008-103526469	7.3278275	5.981936
chr1	10398409	10399778	chr1:10398409-10399778	8.64381	3.629802
chr1	1040162	1041454	chr1:1040162-1041454	5.402959	4.3452954
chr1	104073175	104073792	chr1:104073175-104073792	-1.6438915	4.224729
chr1	10414948	10415714	chr1:10414948-10415714	3.228576	8.241417
chr1	10429971	10431265	chr1:10429971-10431265	8.12374	4.9863715
chr1	10474552	10475672	chr1:10474552-10475672	8.932909	3.236645
chr1	10510631	10511889	chr1:10510631-10511889	2.7379515	8.784668
chr1	10546828	10547406	chr1:10546828-10547406	-0.56907326	5.8746033
chr1	10555802	10556945	chr1:10555802-10556945	3.379923	7.772798
chr1	1059012	1060137	chr1:1059012-1060137	7.075822	4.0827975
chr1	1063762	1064534	chr1:1063762-1064534	6.911239	4.671161
chr1	10638212	10638532	chr1:10638212-10638532	-0.10249689	3.3661208
chr1	10666626	10667177	chr1:10666626-10667177	-0.12700714	4.1675005
chr1	1068587	1070616	chr1:1068587-1070616	5.902983	4.748637
chr1	107044396	107045710	chr1:107044396-107045710	-0.6894035	5.2089148
chr1	107056426	107058107	chr1:107056426-107058107	8.488678	5.7006245
chr1	10721672	10722093	chr1:10721672-10722093	0.80093175	4.9861765
chr1	1074035	1074340	chr1:1074035-1074340	0.8096827	3.4754722
chr1	10766940	10767503	chr1:10766940-10767503	-0.34343573	4.738191
chr1	1079414	1080664	chr1:1079414-1080664	6.8701205	4.5249567
chr1	108079502	108080335	chr1:108079502-108080335	2.436428	9.781868
chr1	108099688	108100695	chr1:108099688-108100695	0.7473706	8.156024
chr1	108118277	108118726	chr1:108118277-108118726	2.0775216	7.1044736
chr1	108126646	108126874	chr1:108126646-108126874	-0.19068794	4.613644
chr1	108174249	108174741	chr1:108174249-108174741	-1.0405102	4.867067
chr1	10835689	10836526	chr1:10835689-10836526	3.3278828	4.727686
chr1	108363959	108364684	chr1:108363959-108364684	-1.2690555	4.8739004
chr1	108476292	108476576	chr1:108476292-108476576	-1.1556612	5.256652
chr1	108486492	108487287	chr1:108486492-108487287	-1.6669984	4.6180716
chr1	108533484	108534470	chr1:108533484-108534470	3.3758934	10.1474695
chr1	108559384	108561246	chr1:108559384-108561246	6.2295394	5.163036
chr1	108640270	108641372	chr1:108640270-108641372	-2.0445461	3.9220362
chr1	108646761	108647230	chr1:108646761-108647230	2.1355984	7.7106824
chr1	108661104	108661506	chr1:108661104-108661506	-1.828898	3.3120153
chr1	10866486	10867643	chr1:10866486-10867643	3.9001496	4.3086324
chr1	108691640	108693548	chr1:108691640-108693548	8.800075	5.796177
chr1	108709011	108709623	chr1:108709011-108709623	2.3241036	4.5594454
chr1	10873295	10873536	chr1:10873295-10873536	0.22374736	5.4515595
chr1	108746271	108747552	chr1:108746271-108747552	8.486362	5.22569
chr1	10879584	10880334	chr1:10879584-10880334	-0.3774085	4.7838974
chr1	108876447	108877665	chr1:108876447-108877665	7.623867	4.96167
chr1	108912630	108913592	chr1:108912630-108913592	1.3630402	8.242809
chr1	108956368	108957452	chr1:108956368-108957452	0.19949801	7.0145535
chr1	108962544	108964031	chr1:108962544-108964031	7.99169	4.9690123
chr1	10899996	10900809	chr1:10899996-10900809	0.009798979	4.5146646
chr1	109041301	109042518	chr1:109041301-109042518	7.469746	4.167911
chr1	109075592	109076724	chr1:109075592-109076724	8.559739	6.254944
chr1	109090043	109091540	chr1:109090043-109091540	8.9330225	3.2360053
chr1	109099615	109100962	chr1:109099615-109100962	8.89236	4.4967413
chr1	109113812	109114211	chr1:109113812-109114211	-1.6687794	3.2793596
chr1	109134085	109135149	chr1:109134085-109135149	2.41001	9.855439
chr1	109148599	109149727	chr1:109148599-109149727	1.084059	8.518153
chr1	109213498	109215046	chr1:109213498-109215046	7.8926387	5.3955073
chr1	109218592	109219059	chr1:109218592-109219059	2.497745	8.289404
chr1	109239277	109241681	chr1:109239277-109241681	1.5562764	2.8602867
chr1	109253628	109255140	chr1:109253628-109255140	4.5755925	6.880096
chr1	109262707	109264253	chr1:109262707-109264253	3.1183043	4.1390405
chr1	109274597	109275179	chr1:109274597-109275179	4.179964	7.261047
chr1	109277306	109277894	chr1:109277306-109277894	3.3010375	4.903027
chr1	109282769	109283935	chr1:109282769-109283935	8.416413	5.0219088
chr1	109290860	109291282	chr1:109290860-109291282	1.4163412	7.1452146
chr1	109389007	109390529	chr1:109389007-109390529	3.4413748	8.047007
chr1	109392705	109393419	chr1:109392705-109393419	4.416123	7.0986776
chr1	109397183	109398563	chr1:109397183-109398563	6.7476587	5.9444695
chr1	10939923	10940553	chr1:10939923-10940553	1.5586963	5.7018237
chr1	109425877	109427093	chr1:109425877-109427093	8.823613	5.821823
chr1	109438339	109439081	chr1:109438339-109439081	1.6310145	7.461886
chr1	109445485	109446229	chr1:109445485-109446229	-0.45484805	5.5352516
chr1	109476678	109477148	chr1:109476678-109477148	0.96782476	6.163229
chr1	109478947	109479222	chr1:109478947-109479222	3.7996168	1.6117493
chr1	109483208	109484466	chr1:109483208-109484466	8.203326	4.6583705
chr1	109501753	109502748	chr1:109501753-109502748	0.39842308	6.6562495
chr1	109548025	109549098	chr1:109548025-109549098	9.031483	5.8810177
chr1	109619129	109621318	chr1:109619129-109621318	7.2507377	5.5772796
chr1	109655577	109656550	chr1:109655577-109656550	7.9044285	5.4589343
chr1	109667563	109668602	chr1:109667563-109668602	4.095042	5.2094545
chr1	109739757	109740843	chr1:109739757-109740843	4.667795	4.512457
chr1	109762876	109764003	chr1:109762876-109764003	3.0494597	7.2322817
chr1	109793469	109795000	chr1:109793469-109795000	1.9515266	7.278367
chr1	109806918	109809073	chr1:109806918-109809073	0.1299402	5.248547
chr1	109822050	109822747	chr1:109822050-109822747	4.435458	8.548796
chr1	109823596	109824409	chr1:109823596-109824409	4.322427	8.059523
chr1	109852281	109852896	chr1:109852281-109852896	3.307726	7.8127584
chr1	109881279	109883075	chr1:109881279-109883075	1.76945	8.05469
chr1	109895654	109896567	chr1:109895654-109896567	4.4835744	7.9179287
chr1	10990016	10990361	chr1:10990016-10990361	-0.03839113	5.9026356
chr1	109901437	109902125	chr1:109901437-109902125	2.8142107	7.5052104
chr1	109917303	109918596	chr1:109917303-109918596	2.824131	9.357671
chr1	109923297	109923936	chr1:109923297-109923936	2.830558	4.0066323
chr1	109942171	109943437	chr1:109942171-109943437	0.4973941	7.3751535
chr1	10994484	10995057	chr1:10994484-10995057	0.9073525	7.231675
chr1	109961668	109962116	chr1:109961668-109962116	-1.3945117	4.8337436
chr1	109984113	109985417	chr1:109984113-109985417	8.086047	4.900785
chr1	110034187	110035504	chr1:110034187-110035504	8.22404	5.460968
chr1	110060045	110060496	chr1:110060045-110060496	2.9667218	4.403598
chr1	110084584	110084823	chr1:110084584-110084823	4.1436067	3.8936772
chr1	110116375	110116991	chr1:110116375-110116991	2.2934005	4.346246
chr1	11011826	11013345	chr1:11011826-11013345	10.022777	4.2104306
chr1	110130118	110130470	chr1:110130118-110130470	0.37051436	4.2490373
chr1	110209699	110211254	chr1:110209699-110211254	5.982777	4.3493404
chr1	110235760	110236457	chr1:110235760-110236457	1.8801956	7.5632987
chr1	110262758	110263233	chr1:110262758-110263233	0.85975194	8.211336
chr1	110337858	110340311	chr1:110337858-110340311	7.7198324	6.0718865
chr1	110395639	110396982	chr1:110395639-110396982	-1.5779943	3.6589777
chr1	110407174	110408228	chr1:110407174-110408228	9.029991	5.7425523
chr1	110412452	110413782	chr1:110412452-110413782	2.7603204	5.562018
chr1	110433372	110434146	chr1:110433372-110434146	2.8620086	5.482987
chr1	110475468	110475728	chr1:110475468-110475728	0.04396094	4.982114
chr1	110480347	110480889	chr1:110480347-110480889	-0.43361178	5.133193
chr1	11052042	11054841	chr1:11052042-11054841	1.4289219	2.7296472
chr1	110524209	110525684	chr1:110524209-110525684	1.7282188	4.195935
chr1	11059223	11060675	chr1:11059223-11060675	7.9152164	3.99778
chr1	110605469	110607625	chr1:110605469-110607625	-0.6531368	3.7572656
chr1	110872676	110873289	chr1:110872676-110873289	3.986565	7.375335
chr1	110879685	110881626	chr1:110879685-110881626	2.6779838	8.841243
chr1	110890430	110892076	chr1:110890430-110892076	1.8504932	8.0277405
chr1	110927257	110927793	chr1:110927257-110927793	0.6647108	6.986095
chr1	110963241	110964472	chr1:110963241-110964472	9.065137	5.4533057
chr1	11098995	11100364	chr1:11098995-11100364	7.8114767	5.251881
chr1	111024902	111025773	chr1:111024902-111025773	1.7729733	9.37093
chr1	111101692	111102895	chr1:111101692-111102895	2.8356879	7.7507286
chr1	111139407	111140859	chr1:111139407-111140859	8.167952	5.5431123
chr1	111197530	111197963	chr1:111197530-111197963	2.6645837	4.3433585
chr1	111216080	111216504	chr1:111216080-111216504	1.5978384	7.1492906
chr1	111335498	111335767	chr1:111335498-111335767	-2.8027828	3.2624297
chr1	111346063	111346866	chr1:111346063-111346866	4.5162725	5.2486978
chr1	111422685	111423487	chr1:111422685-111423487	0.017157352	5.2577095
chr1	111441314	111442006	chr1:111441314-111442006	2.1474605	4.347368
chr1	111448358	111449954	chr1:111448358-111449954	7.734921	5.9678946
chr1	111507499	111508836	chr1:111507499-111508836	4.721758	6.960968
chr1	111515552	111517054	chr1:111515552-111517054	1.7465115	5.928403
chr1	1115826	1116970	chr1:1115826-1116970	8.663371	5.1809363
chr1	111592184	111593615	chr1:111592184-111593615	2.9244516	7.8288274
chr1	111599474	111600195	chr1:111599474-111600195	2.572684	8.644425
chr1	111619418	111620811	chr1:111619418-111620811	7.5126286	4.7597203
chr1	111660158	111661239	chr1:111660158-111661239	1.9099662	9.209391
chr1	111733381	111733802	chr1:111733381-111733802	2.704057	7.338857
chr1	111738887	111740035	chr1:111738887-111740035	6.329994	4.617407
chr1	111755113	111756365	chr1:111755113-111756365	8.603596	4.668031
chr1	111769449	111769811	chr1:111769449-111769811	1.9580897	4.8077354
chr1	111813475	111815179	chr1:111813475-111815179	0.11709724	5.5462465
chr1	111920061	111920980	chr1:111920061-111920980	0.7063822	6.0298038
chr1	111953478	111954088	chr1:111953478-111954088	-0.48201033	4.8581896
chr1	111981644	111982740	chr1:111981644-111982740	-0.3883975	4.226045
chr1	112390513	112391324	chr1:112390513-112391324	2.9843948	5.114173
chr1	112395873	112396764	chr1:112395873-112396764	6.1788254	5.796537
chr1	112501775	112502616	chr1:112501775-112502616	4.089323	4.2549543
chr1	112575203	112575911	chr1:112575203-112575911	1.676852	8.266337
